matrix_size,num_threads,user_time
500,24,0.560693000
675,24,1.481437000
911,24,3.899747000
1229,24,10.511751000
1658,24,36.754757000
2239,24,100.924590000
3023,24,268.254491000
4081,24,693.821820000
5510,24,1811.727453000
500,24,0.569656000
675,24,1.569852000
911,24,3.996936000
1229,24,20.169189000
1658,24,37.428380000
2239,24,100.875863000
3023,24,258.957738000
4081,24,693.557709000
5510,24,1820.803289000
500,24,0.565238000
675,24,1.523789000
911,24,3.974789000
1229,24,18.916369000
1658,24,37.387516000
2239,24,90.521639000
3023,24,256.571206000
4081,24,684.793976000
5510,24,1807.965996000
500,24,0.586005000
675,24,1.545182000
911,24,3.998380000
1229,24,10.653737000
1658,24,44.784990000
2239,24,90.017546000
3023,24,253.060048000
4081,24,682.084522000
5510,24,1791.947362000
500,24,0.566658000
675,24,1.526412000
911,24,3.986119000
1229,24,10.600489000
1658,24,43.374873000
2239,24,90.133522000
3023,24,262.172024000
4081,24,687.277469000
5510,24,1850.750517000
500,24,0.530624000
675,24,1.489100000
911,24,3.938604000
1229,24,10.577363000
1658,24,36.781218000
2239,24,96.520759000
3023,24,261.261961000
4081,24,698.161607000
5510,24,1813.100412000
500,24,0.561190000
675,24,1.573798000
911,24,3.978827000
1229,24,20.032561000
1658,24,37.293737000
2239,24,100.724704000
3023,24,265.202425000
4081,24,683.357063000
5510,24,1779.743951000
500,24,0.557379000
675,24,1.559254000
911,24,4.013717000
1229,24,20.051998000
1658,24,37.438063000
2239,24,100.975606000
3023,24,257.445293000
4081,24,688.110535000
5510,24,1805.896044000
500,24,0.581027000
675,24,1.546072000
911,24,3.940745000
1229,24,10.611956000
1658,24,36.840104000
2239,24,92.926890000
3023,24,271.380267000
4081,24,691.618705000
5510,24,1780.032091000
500,24,0.577520000
675,24,1.539143000
911,24,10.151930000
1229,24,10.187146000
1658,24,37.188583000
2239,24,99.071261000
3023,24,256.297521000
4081,24,683.301291000
5510,24,1858.560793000
