matrix_size,num_threads,real_time
500,8,0.068267822
675,8,0.164513826
911,8,0.405997038
1229,8,0.986904860
1658,8,2.579295158
2239,8,7.440941095
3023,8,19.241759062
4081,8,48.145830154
5510,8,121.881008863
500,8,0.061739922
675,8,0.166087151
911,8,0.412396193
1229,8,0.992156029
1658,8,2.582203865
2239,8,7.428699017
3023,8,19.233778000
4081,8,49.273005962
5510,8,124.101717949
500,8,0.063400984
675,8,0.166392088
911,8,0.407894850
1229,8,0.998316050
1658,8,2.591705084
2239,8,7.484817982
3023,8,19.208144903
4081,8,48.919035196
5510,8,122.989861965
500,8,0.067202091
675,8,0.164544106
911,8,0.408221960
1229,8,0.998944044
1658,8,2.599226952
2239,8,7.452984095
3023,8,19.230777979
4081,8,50.076189041
5510,8,123.526252985
500,8,0.072928905
675,8,0.160435915
911,8,0.405092001
1229,8,0.999284983
1658,8,2.583981037
2239,8,7.328623056
3023,8,19.574239969
4081,8,49.055069923
5510,8,123.959898949
500,8,0.071350098
675,8,0.167140961
911,8,0.402637005
1229,8,1.002196074
1658,8,2.611287832
2239,8,7.470113993
3023,8,19.445219040
4081,8,48.929283142
5510,8,123.437855959
500,8,0.061820984
675,8,0.183120966
911,8,0.411674976
1229,8,0.988347054
1658,8,2.596879005
2239,8,7.383203030
3023,8,19.261749029
4081,8,49.514244080
5510,8,123.490260839
500,8,0.067060947
675,8,0.166049004
911,8,0.414859056
1229,8,0.998043060
1658,8,2.593177080
2239,8,7.473572969
3023,8,19.629334927
4081,8,48.777484894
5510,8,123.625844955
500,8,0.061475039
675,8,0.168138027
911,8,0.405308008
1229,8,1.003249884
1658,8,2.613540173
2239,8,7.432739973
3023,8,19.485265970
4081,8,48.411880016
5510,8,123.112031937
500,8,0.062678099
675,8,0.162069082
911,8,0.411203861
1229,8,0.996989965
1658,8,2.615365028
2239,8,7.498070955
3023,8,19.721696854
4081,8,49.640133142
5510,8,123.033358097
