tamañoMatriz,#procesos,user_time
500,16,0.647781000
675,16,1.543731000
911,16,4.020018000
1229,16,18.809063000
1658,16,33.781162000
2239,16,78.983884000
3023,16,182.385901000
4081,16,504.483796000
5510,16,1228.152875000
500,16,0.630881000
675,16,1.597839000
911,16,13.648101000
1229,16,9.527179000
1658,16,34.326909000
2239,16,79.742979000
3023,16,191.164076000
4081,16,505.409085000
5510,16,1211.612957000
500,16,0.627874000
675,16,1.624740000
911,16,4.110204000
1229,16,19.792988000
1658,16,32.901197000
2239,16,77.942731000
3023,16,185.036481000
4081,16,508.370133000
5510,16,1227.019561000
500,16,0.613379000
675,16,1.614794000
911,16,4.055430000
1229,16,12.242166000
1658,16,31.486887000
2239,16,77.008332000
3023,16,180.869298000
4081,16,503.785407000
5510,16,1224.375797000
500,16,0.614757000
675,16,1.575258000
911,16,14.020140000
1229,16,9.473679000
1658,16,34.276568000
2239,16,78.739717000
3023,16,185.749807000
4081,16,505.835594000
5510,16,1218.782365000
500,16,0.633386000
675,16,1.600290000
911,16,12.421124000
1229,16,9.516662000
1658,16,34.184084000
2239,16,83.294687000
3023,16,188.490744000
4081,16,502.302220000
5510,16,1220.469678000
500,16,2.088575000
675,16,1.540966000
911,16,4.083852000
1229,16,9.373401000
1658,16,36.314905000
2239,16,76.707114000
3023,16,185.810167000
4081,16,504.789443000
5510,16,1222.945461000
500,16,0.634860000
675,16,1.591035000
911,16,4.055194000
1229,16,19.719494000
1658,16,34.330968000
2239,16,79.490438000
3023,16,185.172809000
4081,16,503.694851000
5510,16,1218.196389000
500,16,0.624833000
675,16,1.572780000
911,16,14.073850000
1229,16,9.454745000
1658,16,34.122997000
2239,16,78.991520000
3023,16,187.396901000
4081,16,500.442372000
5510,16,1229.041252000
500,16,0.613130000
675,16,1.595943000
911,16,4.155217000
1229,16,19.718876000
1658,16,32.829959000
2239,16,77.852614000
3023,16,184.841177000
4081,16,503.420003000
5510,16,1218.936254000
