tamañoMatriz,#procesos,real_time
500,2,0.210077613
675,2,0.536940572
911,2,1.275452980
1229,2,2.996564997
1658,2,6.935646377
2239,2,16.583753120
3023,2,40.059212376
4081,2,97.654946977
5510,2,244.584932104
500,2,0.205888304
675,2,0.513458800
911,2,1.238601856
1229,2,2.862868532
1658,2,6.869954410
2239,2,16.476678472
3023,2,39.994823525
4081,2,98.315738240
5510,2,244.600929319
500,2,0.200194064
675,2,0.509237213
911,2,1.231820968
1229,2,2.925978179
1658,2,6.711939641
2239,2,16.620735019
3023,2,40.090115307
4081,2,97.226573439
