tamañoMatriz,procesos,real_time
500,4,0.109546027
675,4,0.299236297
911,4,0.688603289
1229,4,1.670770739
1658,4,4.216412639
2239,4,10.116189592
3023,4,23.239976141
4081,4,56.303663447
5510,4,140.601549288
500,4,0.111324105
675,4,0.292732080
911,4,0.693591347
1229,4,1.692319035
1658,4,4.075685047
2239,4,10.100336756
3023,4,23.270384610
4081,4,56.163451392
5510,4,137.006933680
500,4,0.113955688
675,4,0.293058561
911,4,0.681247816
1229,4,1.691795300
1658,4,4.214946942
2239,4,10.303759766
3023,4,23.149163796
4081,4,55.698398252
5510,4,140.779931608
500,4,0.113875728
675,4,0.300231207
911,4,0.692383118
1229,4,1.700498403
1658,4,4.068612742
2239,4,10.095291674
3023,4,23.115477425
4081,4,56.197222272
5510,4,137.332574257
500,4,0.116450563
675,4,0.300327947
911,4,0.684395085
1229,4,1.697842502
1658,4,4.140582441
2239,4,10.334527715
3023,4,22.374048534
4081,4,55.648422387
5510,4,140.519118233
500,4,0.112049870
675,4,0.299456523
911,4,0.693024861
1229,4,1.721875125
1658,4,4.111018781
2239,4,9.999122980
3023,4,23.115540948
4081,4,55.297304809
5510,4,136.801707043
500,4,0.111907003
675,4,0.298640119
911,4,0.699744153
1229,4,1.712285694
1658,4,4.124445853
2239,4,10.016879164
3023,4,22.487008050
4081,4,56.247420444
5510,4,140.720946474
500,4,0.112291501
675,4,0.290735134
911,4,0.681922477
1229,4,1.702628394
1658,4,4.094318724
2239,4,10.036535114
3023,4,22.591666975
4081,4,56.367433509
5510,4,136.785809129
500,4,0.107533681
675,4,0.298547874
911,4,0.701790310
1229,4,1.672225581
1658,4,4.196747880
2239,4,10.049566689
3023,4,23.170492953
4081,4,56.442896707
5510,4,137.952953604
500,4,0.111938043
675,4,0.297238565
911,4,0.696306024
1229,4,1.703431165
1658,4,4.190843955
2239,4,10.008396476
3023,4,23.201471594
4081,4,56.116649324
5510,4,141.359898365
