size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm
675,2,0.015308469,0.029897000,0.000085000,0.029982000,614638125,40.150202,29.762937,9,openmp
675,2,0.015067243,0.029468000,0.000117000,0.029585000,614638125,40.793005,30.239441,9,openmp
675,2,0.013607869,0.026481000,0.000099000,0.026580000,614638125,45.167846,33.482465,9,openmp
675,2,0.013282534,0.025387000,0.000777000,0.026164000,614638125,46.274162,34.302566,9,openmp
675,2,0.012365002,0.023710000,0.000000000,0.023710000,614638125,49.707887,36.847952,9,openmp
675,2,0.015947045,0.031041000,0.000000000,0.031041000,614638125,38.542446,28.571124,9,openmp
675,2,0.013912915,0.027218000,0.000000000,0.027218000,614638125,44.177523,32.748349,9,openmp
675,2,0.012651172,0.024865000,0.000000000,0.024865000,614638125,48.583493,36.014450,9,openmp
675,2,0.015889887,0.031044000,0.000000000,0.031044000,614638125,38.681088,28.673898,9,openmp
675,2,0.016750852,0.032988000,0.000000000,0.032988000,614638125,36.692947,27.200109,9,openmp
675,4,0.014075371,0.053809000,0.000000000,0.053809000,614638125,43.667632,32.370372,9,openmp
675,4,0.017890794,0.055264000,0.000000000,0.055264000,614638125,34.354994,25.467008,9,openmp
675,4,0.019688438,0.067289000,0.000000000,0.067289000,614638125,31.218227,23.141755,9,openmp
675,4,0.018157377,0.061325000,0.001809000,0.063134000,614638125,33.850601,25.093107,9,openmp
675,4,0.009553685,0.035531000,0.000964000,0.036495000,614638125,64.335188,47.691022,9,openmp
675,4,0.024506613,0.087461000,0.000843000,0.088304000,614638125,25.080501,18.591920,9,openmp
675,4,0.010857256,0.042362000,0.000000000,0.042362000,614638125,56.610816,41.965023,9,openmp
675,4,0.019066422,0.070615000,0.000761000,0.071376000,614638125,32.236679,23.896723,9,openmp
675,4,0.011462088,0.043427000,0.000723000,0.044150000,614638125,53.623574,39.750611,9,openmp
675,4,0.016431068,0.050758000,0.000000000,0.050758000,614638125,37.407071,27.729482,9,openmp
675,8,0.014481107,0.088124000,0.000000000,0.088124000,614638125,42.444139,31.463410,9,openmp
675,8,0.018563473,0.119616000,0.000000000,0.119616000,614638125,33.110083,24.544168,9,openmp
