size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm
675,2,0.017506019,0.032732000,0.000000000,0.032732000,614638125,35.110103,26.026763,13,openmp
675,2,0.018009981,0.032819000,0.000000000,0.032819000,614638125,34.127639,25.298472,13,openmp
675,2,0.014190105,0.027285000,0.000000000,0.027285000,614638125,43.314558,32.108642,13,openmp
675,2,0.013711461,0.026755000,0.000000000,0.026755000,614638125,44.826596,33.229500,13,openmp
675,2,0.015247703,0.028487000,0.000960000,0.029447000,614638125,40.310211,29.881550,13,openmp
675,2,0.013169577,0.025952000,0.000000000,0.025952000,614638125,46.671061,34.596783,13,openmp
675,2,0.012560767,0.024185000,0.000071000,0.024256000,614638125,48.933168,36.273661,13,openmp
675,2,0.012451661,0.023472000,0.000119000,0.023591000,614638125,49.361939,36.591504,13,openmp
675,2,0.012265109,0.023232000,0.000000000,0.023232000,614638125,50.112732,37.148060,13,openmp
675,2,0.014056262,0.027152000,0.000000000,0.027152000,614638125,43.726997,32.414379,13,openmp
675,4,0.007981127,0.029122000,0.000000000,0.029122000,614638125,77.011445,57.087802,13,openmp
675,4,0.011798948,0.045173000,0.000009000,0.045182000,614638125,52.092621,38.615731,13,openmp
675,4,0.010430272,0.040395000,0.000000000,0.040395000,614638125,58.928293,43.682945,13,openmp
675,4,0.011898056,0.043141000,0.000856000,0.043997000,614638125,51.658702,38.294071,13,openmp
675,4,0.011338598,0.044068000,0.000000000,0.044068000,614638125,54.207595,40.183539,13,openmp
675,4,0.008138834,0.030004000,0.000000000,0.030004000,614638125,75.519187,55.981606,13,openmp
675,4,0.008252950,0.030768000,0.000051000,0.030819000,614638125,74.474960,55.207532,13,openmp
675,4,0.008579367,0.032542000,0.000000000,0.032542000,614638125,71.641431,53.107065,13,openmp
675,4,0.008660680,0.033585000,0.000069000,0.033654000,614638125,70.968807,52.608456,13,openmp
675,4,0.007378949,0.026518000,0.000000000,0.026518000,614638125,83.296161,61.746598,13,openmp
675,8,0.007816976,0.058319000,0.000003000,0.058322000,614638125,78.628631,58.286606,13,openmp
675,8,0.008784715,0.064315000,0.000000000,0.064315000,614638125,69.966769,51.865655,13,openmp
675,8,0.009294256,0.063439000,0.000012000,0.063451000,614638125,66.130966,49.022213,13,openmp
675,8,0.008115490,0.053278000,0.000710000,0.053988000,614638125,75.736416,56.142636,13,openmp
675,8,0.010489325,0.069460000,0.000727000,0.070187000,614638125,58.596537,43.437018,13,openmp
675,8,0.007365603,0.051818000,0.000000000,0.051818000,614638125,83.447088,61.858479,13,openmp
675,8,0.007670419,0.049645000,0.000945000,0.050590000,614638125,80.130971,59.400275,13,openmp
675,8,0.007405219,0.053778000,0.000741000,0.054519000,614638125,83.000668,61.527552,13,openmp
675,8,0.007771530,0.054272000,0.000726000,0.054998000,614638125,79.088432,58.627452,13,openmp
675,8,0.007227353,0.051332000,0.000000000,0.051332000,614638125,85.043324,63.041753,13,openmp
675,12,0.013156844,0.118822000,0.000000000,0.118822000,614638125,46.716228,34.630265,13,openmp
675,12,0.008342539,0.082276000,0.001257000,0.083533000,614638125,73.675187,54.614668,13,openmp
675,12,0.006292096,0.064869000,0.000000000,0.064869000,614638125,97.684162,72.412277,13,openmp
675,12,0.006192067,0.059533000,0.000000000,0.059533000,614638125,99.262189,73.582053,13,openmp
675,12,0.006641085,0.063427000,0.000323000,0.063750000,614638125,92.550860,68.607012,13,openmp
675,12,0.005772574,0.052344000,0.000841000,0.053185000,614638125,106.475573,78.929261,13,openmp
675,12,0.013792755,0.137658000,0.000000000,0.137658000,614638125,44.562390,33.033647,13,openmp
675,12,0.013398260,0.113083000,0.000000000,0.113083000,614638125,45.874474,34.006281,13,openmp
675,12,0.006604326,0.067952000,0.000841000,0.068793000,614638125,93.065988,68.988872,13,openmp
675,12,0.009274139,0.091499000,0.000000000,0.091499000,614638125,66.274414,49.128550,13,openmp
