matrix_size,real_time_sec,user_time_sec,system_time_sec,total_cpu_time_sec,total_operations,performance_gops,elements_per_second_million,memory_used_mb,algorithm
675,0.025825704,0.025562000,0.000000000,0.025562000,614638125,23.799472,17.642307,13,Secuencial
675,0.024730937,0.024324000,0.000000000,0.024324000,614638125,24.853006,18.423281,13,Secuencial
675,0.025373541,0.023798000,0.000856000,0.024654000,614638125,24.223585,17.956697,13,Secuencial
675,0.026671362,0.025225000,0.000926000,0.026151000,614638125,23.044872,17.082930,13,Secuencial
675,0.024705849,0.024261000,0.000000000,0.024261000,614638125,24.878243,18.441989,13,Secuencial
675,0.024675993,0.024107000,0.000152000,0.024259000,614638125,24.908344,18.464303,13,Secuencial
675,0.025402866,0.024902000,0.000000000,0.024902000,614638125,24.195621,17.935968,13,Secuencial
675,0.024311614,0.023908000,0.000138000,0.024046000,614638125,25.281667,18.741043,13,Secuencial
675,0.024795509,0.024241000,0.000000000,0.024241000,614638125,24.788284,18.375303,13,Secuencial
675,0.026275585,0.026010000,0.000073000,0.026083000,614638125,23.391986,17.340242,13,Secuencial
911,0.105622059,0.104458000,0.000000000,0.104458000,1511286141,14.308433,7.857459,13,Secuencial
911,0.097728980,0.096683000,0.000034000,0.096717000,1511286141,15.464053,8.492067,13,Secuencial
911,0.099707176,0.098506000,0.000193000,0.098699000,1511286141,15.157245,8.323583,13,Secuencial
911,0.077951289,0.076815000,0.000072000,0.076887000,1511286141,19.387571,10.646662,13,Secuencial
911,0.082921969,0.081710000,0.000000000,0.081710000,1511286141,18.225401,10.008457,13,Secuencial
911,0.092276519,0.091244000,0.000000000,0.091244000,1511286141,16.377797,8.993848,13,Secuencial
911,0.086886898,0.086165000,0.000040000,0.086205000,1511286141,17.393717,9.551739,13,Secuencial
911,0.090485175,0.088994000,0.000006000,0.089000000,1511286141,16.702030,9.171900,13,Secuencial
911,0.090364418,0.089524000,0.000020000,0.089544000,1511286141,16.724350,9.184157,13,Secuencial
911,0.090937240,0.090002000,0.000000000,0.090002000,1511286141,16.619002,9.126305,13,Secuencial
1229,0.377074464,0.369806000,0.000090000,0.369896000,3711153537,9.841965,4.005684,19,Secuencial
1229,0.400917554,0.395450000,0.000018000,0.395468000,3711153537,9.256650,3.767460,19,Secuencial
1229,0.394409780,0.388036000,0.000033000,0.388069000,3711153537,9.409385,3.829624,19,Secuencial
1229,0.400687496,0.386735000,0.000052000,0.386787000,3711153537,9.261965,3.769623,19,Secuencial
1229,0.385524524,0.378205000,0.000242000,0.378447000,3711153537,9.626245,3.917886,19,Secuencial
1229,0.385367706,0.379418000,0.000023000,0.379441000,3711153537,9.630162,3.919480,19,Secuencial
1229,0.368946687,0.363441000,0.000203000,0.363644000,3711153537,10.058780,4.093928,19,Secuencial
1229,0.338158619,0.333796000,0.000000000,0.333796000,3711153537,10.974594,4.466664,19,Secuencial
1229,0.339767477,0.332862000,0.000785000,0.333647000,3711153537,10.922627,4.445514,19,Secuencial
1229,0.334878542,0.330301000,0.000000000,0.330301000,3711153537,11.082088,4.510414,19,Secuencial
1658,0.981606882,0.966885000,0.000765000,0.967650000,9112815660,9.283569,2.800473,33,Secuencial
1658,0.860952531,0.846923000,0.000058000,0.846981000,9112815660,10.584574,3.192933,33,Secuencial
1658,0.959274348,0.944909000,0.000085000,0.944994000,9112815660,9.499697,2.865670,33,Secuencial
1658,0.935217312,0.918571000,0.000000000,0.918571000,9112815660,9.744062,2.939385,33,Secuencial
1658,0.878756499,0.865655000,0.000000000,0.865655000,9112815660,10.370126,3.128243,33,Secuencial
1658,1.018885394,1.003706000,0.000000000,1.003706000,9112815660,8.943906,2.698011,33,Secuencial
1658,0.951726453,0.932467000,0.002182000,0.934649000,9112815660,9.575037,2.888397,33,Secuencial
1658,0.868419050,0.856198000,0.000000000,0.856198000,9112815660,10.493570,3.165481,33,Secuencial
1658,0.914956721,0.901268000,0.000000000,0.901268000,9112815660,9.959832,3.004474,33,Secuencial
1658,0.981406181,0.960730000,0.000334000,0.961064000,9112815660,9.285468,2.801046,33,Secuencial
2239,2.769096044,2.723706000,0.000978000,2.724684000,22443742717,8.105079,1.810382,59,Secuencial
2239,2.668164812,2.620210000,0.003028000,2.623238000,22443742717,8.411678,1.878865,59,Secuencial
2239,2.504651469,2.456152000,0.002236000,2.458388000,22443742717,8.960825,2.001524,59,Secuencial
2239,2.277779003,2.237518000,0.000173000,2.237691000,22443742717,9.853345,2.200881,59,Secuencial
2239,2.643612935,2.587086000,0.004950000,2.592036000,22443742717,8.489799,1.896314,59,Secuencial
2239,2.388319733,2.351163000,0.002998000,2.354161000,22443742717,9.397294,2.099016,59,Secuencial
2239,2.767481839,2.633902000,0.000769000,2.634671000,22443742717,8.109807,1.811438,59,Secuencial
2239,2.387353030,2.298481000,0.001123000,2.299604000,22443742717,9.401099,2.099866,59,Secuencial
2239,2.842043307,2.784617000,0.000867000,2.785484000,22443742717,7.897045,1.763914,59,Secuencial
2239,2.183326692,2.145630000,0.001888000,2.147518000,22443742717,10.279608,2.296093,59,Secuencial
3023,7.977018174,7.804691000,0.002047000,7.806738000,55242407805,6.925195,1.145607,106,Secuencial
3023,7.629028877,7.485004000,0.008836000,7.493840000,55242407805,7.241080,1.197863,106,Secuencial
3023,7.914974290,7.746553000,0.003042000,7.749595000,55242407805,6.979480,1.154587,106,Secuencial
3023,7.631389116,7.502165000,0.001944000,7.504109000,55242407805,7.238840,1.197492,106,Secuencial
3023,7.608495630,7.478849000,0.003880000,7.482729000,55242407805,7.260622,1.201095,106,Secuencial
3023,7.678233017,7.536924000,0.001190000,7.538114000,55242407805,7.194677,1.190186,106,Secuencial
3023,6.023498318,5.929325000,0.001920000,5.931245000,55242407805,9.171150,1.517146,106,Secuencial
3023,6.368998216,6.246913000,0.003059000,6.249972000,55242407805,8.673642,1.434846,106,Secuencial
3023,7.323238674,7.206655000,0.002977000,7.209632000,55242407805,7.543439,1.247881,106,Secuencial
3023,6.800914309,6.686153000,0.002155000,6.688308000,55242407805,8.122791,1.343721,106,Secuencial
4081,13.560237163,13.352379000,0.008960000,13.361339000,135917872321,10.023267,1.228191,192,Secuencial
4081,13.513184933,13.276928000,0.018730000,13.295658000,135917872321,10.058167,1.232467,192,Secuencial
4081,13.544489979,13.311573000,0.010807000,13.322380000,135917872321,10.034920,1.229619,192,Secuencial
4081,13.557662355,13.344619000,0.008437000,13.353056000,135917872321,10.025170,1.228424,192,Secuencial
4081,13.506849620,13.302974000,0.003678000,13.306652000,135917872321,10.062885,1.233046,192,Secuencial
4081,13.518730757,13.294496000,0.011085000,13.305581000,135917872321,10.054041,1.231962,192,Secuencial
4081,13.450241856,13.232387000,0.007907000,13.240294000,135917872321,10.105236,1.238235,192,Secuencial
4081,13.471682663,13.262005000,0.009026000,13.271031000,135917872321,10.089153,1.236264,192,Secuencial
4081,13.597427914,13.386768000,0.004029000,13.390797000,135917872321,9.995852,1.224832,192,Secuencial
4081,13.515126987,13.295080000,0.014005000,13.309085000,135917872321,10.056722,1.232290,192,Secuencial
