tamaño,tiempo
911,0.255363
1229,0.662036
1658,1.997084
2039,3.674828
3023,10.776246
4081,27.080632
5510,66.754759
911,0.270703
1229,0.820913
1658,2.523049
2039,3.426526
3023,10.834045
4081,27.088219
5510,69.291402
911,0.286651
1229,0.669801
1658,1.833545
2039,3.293122
3023,11.245324
4081,27.920618
5510,70.279108
911,0.279283
1229,0.659658
1658,2.049663
2039,4.089563
3023,11.329251
4081,29.069155
5510,74.168173
911,0.269494
1229,0.711568
1658,1.809215
2039,3.453775
3023,11.316320
4081,28.376503
5510,72.596475
911,0.277471
1229,0.773357
1658,1.938883
2039,3.701084
3023,11.497509
4081,30.830485
5510,73.503023
911,0.331792
1229,0.774814
1658,2.012179
2039,3.415249
3023,12.861203
4081,27.454667
5510,68.850653
911,0.264021
1229,0.768227
1658,1.801300
2039,3.613286
3023,11.517913
4081,27.351341
5510,68.577596
911,0.278388
1229,0.705835
1658,3.071758
2039,3.929255
3023,11.585698
4081,28.503046
5510,72.678342
911,0.279364
1229,0.653321
1658,1.881068
2039,3.363056
3023,10.977904
4081,26.874238
5510,69.269681
