size,iteration,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,num_processes,algorithm
500,1,0.336316232,0.335704000,0.000629000,0.336333000,249750000,0.742605,0.743348,2,1,lineal
700,1,0.907593249,0.906633000,0.000973000,0.907606000,685510000,0.755305,0.539889,5,1,lineal
1400,1,7.369009719,7.367932000,0.000000000,7.367932000,5486040000,0.744475,0.265979,22,1,lineal
2800,1,84.177208316,84.171855000,0.000377000,84.172232000,43896160000,0.521473,0.093137,89,1,lineal
500,1,1.255377259,1.253554000,0.001546000,1.255100000,249750000,0.198944,0.199143,2,1,lineal
700,1,0.936258263,0.936298000,0.000000000,0.936298000,685510000,0.732180,0.523360,5,1,lineal
1400,1,10.221752303,10.220099000,0.001334000,10.221433000,5486040000,0.536702,0.191748,22,1,lineal
2800,1,84.312999563,84.309779000,0.000000000,84.309779000,43896160000,0.520633,0.092987,89,1,lineal
500,1,0.824683096,0.824486000,0.000000000,0.824486000,249750000,0.302844,0.303147,2,1,lineal
700,1,1.264350673,1.263546000,0.000885000,1.264431000,685510000,0.542183,0.387551,5,1,lineal
1400,1,10.158187547,10.157691000,0.000190000,10.157881000,5486040000,0.540061,0.192948,22,1,lineal
2800,1,71.980462708,71.977486000,0.000149000,71.977635000,43896160000,0.609834,0.108918,89,1,lineal
500,1,0.337320441,0.337302000,0.000000000,0.337302000,249750000,0.740394,0.741135,2,1,lineal
700,1,0.939338286,0.939276000,0.000000000,0.939276000,685510000,0.729780,0.521644,5,1,lineal
1400,1,10.330407003,10.329142000,0.000000000,10.329142000,5486040000,0.531057,0.189731,22,1,lineal
2800,1,74.346502074,74.326111000,0.008049000,74.334160000,43896160000,0.590427,0.105452,89,1,lineal
500,1,0.340059768,0.340050000,0.000000000,0.340050000,249750000,0.734430,0.735165,2,1,lineal
700,1,0.964384016,0.956054000,0.000000000,0.956054000,685510000,0.710827,0.508096,5,1,lineal
1400,1,11.402132112,11.400533000,0.000038000,11.400571000,5486040000,0.481142,0.171898,22,1,lineal
2800,1,65.383894306,65.375056000,0.000000000,65.375056000,43896160000,0.671360,0.119907,89,1,lineal
500,1,0.366268349,0.363499000,0.002775000,0.366274000,249750000,0.681877,0.682560,2,1,lineal
700,1,0.954817125,0.950859000,0.000000000,0.950859000,685510000,0.717949,0.513187,5,1,lineal
1400,1,7.326060299,7.324504000,0.000035000,7.324539000,5486040000,0.748839,0.267538,22,1,lineal
2800,1,87.204239450,87.116017000,0.032178000,87.148195000,43896160000,0.503372,0.089904,89,1,lineal
500,1,0.347584383,0.346164000,0.001430000,0.347594000,249750000,0.718531,0.719250,2,1,lineal
700,1,0.956240951,0.953948000,0.000000000,0.953948000,685510000,0.716880,0.512423,5,1,lineal
1400,1,11.220046030,11.218370000,0.000419000,11.218789000,5486040000,0.488950,0.174687,22,1,lineal
2800,1,68.872623032,68.867881000,0.000081000,68.867962000,43896160000,0.637353,0.113833,89,1,lineal
500,1,0.342863824,0.342869000,0.000000000,0.342869000,249750000,0.728423,0.729152,2,1,lineal
700,1,0.907644604,0.907627000,0.000000000,0.907627000,685510000,0.755263,0.539859,5,1,lineal
1400,1,10.303988182,10.302840000,0.000000000,10.302840000,5486040000,0.532419,0.190218,22,1,lineal
2800,1,86.028359732,86.018847000,0.004137000,86.022984000,43896160000,0.510252,0.091133,89,1,lineal
500,1,0.332229953,0.330723000,0.001510000,0.332233000,249750000,0.751738,0.752491,2,1,lineal
700,1,0.942654405,0.942621000,0.000000000,0.942621000,685510000,0.727212,0.519809,5,1,lineal
1400,1,7.312995653,7.312397000,0.000543000,7.312940000,5486040000,0.750177,0.268016,22,1,lineal
2800,1,72.627258527,72.604150000,0.003943000,72.608093000,43896160000,0.604403,0.107948,89,1,lineal
500,1,0.336171716,0.336169000,0.000000000,0.336169000,249750000,0.742924,0.743668,2,1,lineal
700,1,0.932851786,0.932874000,0.000000000,0.932874000,685510000,0.734854,0.525271,5,1,lineal
1400,1,10.504144003,10.502598000,0.000000000,10.502598000,5486040000,0.522274,0.186593,22,1,lineal
2800,1,84.272577105,84.258070000,0.004144000,84.262214000,43896160000,0.520883,0.093031,89,1,lineal
