N,num_procesos,pi_est,real_time
400000,2,3.142060000,0.002875172
600000,2,3.144300000,0.003875326
900000,2,3.140302222,0.005664634
1350000,2,3.140474074,0.009088159
2025000,2,3.141341235,0.015724793
3037500,2,3.141946996,0.022540835
4556250,2,3.141374595,0.030514085
6834375,2,3.142437332,0.042438734
10251562,2,3.142117855,0.063105109
15377343,2,3.142072798,0.093054732
23066015,2,3.141685772,0.134396441
34599022,2,3.142097022,0.195578480
51898533,2,3.141881855,0.295871619
77847800,2,3.141545837,0.437751327
116771700,2,3.141608558,0.655454508
400000,2,3.140680000,0.002568746
600000,2,3.143253333,0.003205915
900000,2,3.140484444,0.008404722
1350000,2,3.141917037,0.008222489
2025000,2,3.140884938,0.014224969
3037500,2,3.143712922,0.020897441
4556250,2,3.142558903,0.031282642
6834375,2,3.141899463,0.046775568
10251562,2,3.141880623,0.061434074
15377343,2,3.142340724,0.091524531
23066015,2,3.141518946,0.134690745
34599022,2,3.141392956,0.195628514
51898533,2,3.141389587,0.289159091
77847800,2,3.141547532,0.433011433
116771700,2,3.141550324,0.640553345
400000,2,3.140290000,0.002567043
600000,2,3.138900000,0.006394739
900000,2,3.141924444,0.005774220
1350000,2,3.141555556,0.008396567
2025000,2,3.143604938,0.013041512
3037500,2,3.141434733,0.024057841
4556250,2,3.141041866,0.030353703
6834375,2,3.141170208,0.043101292
10251562,2,3.140654663,0.062669780
15377343,2,3.141313239,0.091000314
23066015,2,3.141291426,0.131865887
34599022,2,3.141704988,0.194641566
51898533,2,3.141903590,0.285130207
77847800,2,3.141541624,0.430902232
116771700,2,3.141637606,0.636454218
400000,2,3.135880000,0.002635542
600000,2,3.139360000,0.003397997
900000,2,3.143404444,0.005806892
1350000,2,3.141682963,0.009168941
2025000,2,3.141856790,0.014410229
3037500,2,3.141962798,0.022030845
4556250,2,3.141574760,0.029514213
6834375,2,3.141732074,0.041852470
10251562,2,3.141234867,0.063742430
15377343,2,3.141049994,0.091825217
23066015,2,3.141585538,0.132850890
34599022,2,3.141517121,0.193895642
51898533,2,3.141488780,0.287253704
77847800,2,3.141635705,0.429053832
116771700,2,3.141529155,0.634045122
400000,2,3.137220000,0.002592070
600000,2,3.144606667,0.003231624
900000,2,3.142475556,0.009601756
1350000,2,3.139730370,0.009754964
2025000,2,3.139492346,0.017012036
3037500,2,3.143673416,0.027464404
4556250,2,3.141017284,0.031569922
6834375,2,3.140425736,0.044543125
10251562,2,3.142738248,0.062728430
15377343,2,3.142160199,0.093166823
23066015,2,3.141639297,0.136542921
34599022,2,3.141773198,0.193641913
51898533,2,3.141699037,0.285898332
77847800,2,3.141631645,0.429910754
116771700,2,3.141602015,0.634784263
400000,2,3.143640000,0.002724930
600000,2,3.142340000,0.003228087
900000,2,3.141102222,0.006413113
1350000,2,3.140032593,0.009628796
2025000,2,3.140618272,0.014068796
3037500,2,3.142189300,0.021433560
4556250,2,3.140070892,0.035019877
6834375,2,3.141953308,0.042945027
10251562,2,3.141699577,0.060162550
15377343,2,3.141137916,0.087850054
23066015,2,3.141527964,0.129987179
34599022,2,3.141459894,0.193073042
51898533,2,3.141495409,0.286907632
77847800,2,3.141496972,0.428767001
116771700,2,3.141608592,0.634718047
400000,2,3.136690000,0.002344133
600000,2,3.140673333,0.003453511
900000,2,3.139822222,0.005804177
1350000,2,3.140506667,0.008162056
2025000,2,3.141872593,0.012189558
3037500,2,3.141749465,0.019395223
4556250,2,3.139916379,0.032370780
6834375,2,3.141847959,0.044668962
10251562,2,3.140861461,0.060993965
15377343,2,3.141659202,0.088671800
23066015,2,3.141469176,0.130377254
34599022,2,3.141543249,0.195090730
51898533,2,3.141557684,0.285309774
77847800,2,3.141676091,0.430064443
116771700,2,3.141593657,0.640085621
400000,2,3.137280000,0.002554489
600000,2,3.142273333,0.003409829
900000,2,3.142857778,0.007255288
1350000,2,3.141001481,0.007966367
2025000,2,3.141896296,0.016211970
3037500,2,3.141205597,0.021064896
4556250,2,3.141472922,0.028532555
6834375,2,3.142348955,0.044050318
10251562,2,3.141365189,0.063415884
15377343,2,3.142021814,0.088460453
23066015,2,3.141553630,0.132178084
34599022,2,3.141965111,0.191478350
51898533,2,3.141304729,0.289784828
77847800,2,3.141609243,0.423437176
116771700,2,3.141629385,0.635956366
400000,2,3.139430000,0.002529191
600000,2,3.143433333,0.003552298
900000,2,3.138102222,0.008008756
1350000,2,3.140189630,0.008698636
2025000,2,3.142702222,0.014753665
3037500,2,3.140756543,0.021849122
4556250,2,3.141823210,0.028479064
6834375,2,3.141852056,0.042095678
10251562,2,3.142001580,0.063838280
15377343,2,3.142037941,0.089555523
23066015,2,3.142098847,0.130820067
34599022,2,3.141546255,0.192787474
51898533,2,3.141945518,0.287919556
77847800,2,3.141677016,0.426136628
116771700,2,3.141576735,0.630976672
400000,2,3.143310000,0.002542196
600000,2,3.144073333,0.003161622
900000,2,3.142137778,0.005792605
1350000,2,3.141431111,0.008429178
2025000,2,3.141232593,0.014184113
3037500,2,3.140265350,0.020820746
4556250,2,3.141822332,0.027100227
6834375,2,3.140096811,0.047892271
10251562,2,3.142486969,0.060423861
15377343,2,3.141709146,0.088924245
23066015,2,3.141063731,0.129489301
34599022,2,3.141338619,0.191834590
51898533,2,3.141592598,0.285689588
77847800,2,3.141679534,0.425604947
116771700,2,3.141625754,0.634460188
175157550,2,3.141589774,0.883215584
262736325,2,3.141594902,1.313673868
394104487,2,3.141589177,1.963180875
591156730,2,3.141602025,2.929176970
886735095,2,3.141571835,4.383650347
1330102642,2,3.141588626,6.553715335
175157550,2,3.141508590,0.865755001
262736325,2,3.141614754,1.301973795
394104487,2,3.141578490,1.941025968
591156730,2,3.141579452,2.890203131
886735095,2,3.141593947,4.341595100
1330102642,2,3.141585057,6.504634264
175157550,2,3.141564083,0.859496475
262736325,2,3.141593730,1.283914134
394104487,2,3.141592222,1.927874014
591156730,2,3.141585474,2.898023201
886735095,2,3.141615397,4.337294614
1330102642,2,3.141593883,6.501510129
175157550,2,3.141561754,0.857748766
262736325,2,3.141566173,1.294445893
394104487,2,3.141563976,1.918614632
591156730,2,3.141600712,2.895946593
886735095,2,3.141574000,4.325619008
1330102642,2,3.141588004,6.480264573
175157550,2,3.141546339,0.859097414
262736325,2,3.141612060,1.283404874
394104487,2,3.141580489,1.926965363
591156730,2,3.141603662,2.876927905
886735095,2,3.141612667,4.331920510
1330102642,2,3.141589595,6.473562844
175157550,2,3.141695371,0.854558808
262736325,2,3.141578992,1.285889282
394104487,2,3.141609791,1.918308974
591156730,2,3.141569580,2.886438393
886735095,2,3.141574473,4.339200006
1330102642,2,3.141588819,6.460457850
175157550,2,3.141571848,0.857367032
262736325,2,3.141607036,1.283147861
394104487,2,3.141553370,1.919469944
591156730,2,3.141599555,2.885711507
886735095,2,3.141573120,4.321811584
1330102642,2,3.141588413,6.462083608
175157550,2,3.141556684,0.849226743
262736325,2,3.141595069,1.285879316
394104487,2,3.141607173,1.918227229
591156730,2,3.141551832,2.872141069
886735095,2,3.141599748,4.302703202
1330102642,2,3.141583439,6.467815613
175157550,2,3.141615032,0.852409980
262736325,2,3.141572644,1.288992357
394104487,2,3.141591542,1.927418271
591156730,2,3.141596057,2.858116167
886735095,2,3.141582449,4.313383765
1330102642,2,3.141586945,6.455522306
175157550,2,3.141670959,0.847787851
262736325,2,3.141617906,1.279543130
394104487,2,3.141591563,1.908704956
591156730,2,3.141603412,2.876141479
886735095,2,3.141591092,4.328765344
1330102642,2,3.141588284,6.464155868
