N,num_threads,pi_est,real_time
100000,12,3.137360000,0.000480890
200000,12,3.137800000,0.000915051
300000,12,3.139373333,0.001291990
100000,12,3.137360000,0.000499964
200000,12,3.137800000,0.000625134
300000,12,3.139373333,0.001117945
100000,12,3.137360000,0.000566006
200000,12,3.137800000,0.000531912
300000,12,3.139373333,0.000880003
100000,12,3.149240000,0.000701904
200000,12,3.147140000,0.001681089
300000,12,3.146266667,0.001286030
100000,12,3.149240000,0.000640154
200000,12,3.147140000,0.000720978
300000,12,3.146266667,0.000768900
100000,12,3.149240000,0.000572920
200000,12,3.147140000,0.000966072
300000,12,3.146266667,0.002022028
