N,num_threads,pi_est,real_time
100000,4,3.144159723,0.002609968
200000,4,3.138165585,0.002795935
300000,4,3.136959659,0.003273964
100000,4,3.144159723,0.001750946
200000,4,3.138165585,0.002263069
300000,4,3.136959659,0.003251076
100000,4,3.144159723,0.001240015
200000,4,3.138165585,0.002444983
300000,4,3.136959659,0.003378868
10000,4,3.146138115,0.000267982
10000,4,3.130870382,0.000380039
100000,4,3.134845374,0.001307964
100000,4,3.121926853,0.001243114
1000000,4,3.140545701,0.010058880
1000000,4,3.140195603,0.006669044
100000,4,3.135877575,0.000879049
100000,4,3.149507102,0.001097202
100000,4,3.138190206,0.000987053
100000,4,3.135582591,0.000942945
100000,4,3.138485681,0.000797987
100000,4,3.143616102,0.000953913
100000,4,3.142875102,0.000875950
100000,4,3.138534932,0.000838041
100000,4,3.129009043,0.001046896
200000,4,3.134697972,0.001630068
300000,4,3.133879325,0.002604961
100000,4,3.129009043,0.001044989
200000,4,3.134697972,0.001711130
300000,4,3.146237100,0.002749920
100000,4,3.149655900,0.001059055
200000,4,3.149135169,0.001680136
300000,4,3.146237100,0.002362013
