modo,algoritmo,tamaño,workers,iteracion,tiempo
Hilos,Dartboard,175157550,2,1,0.8474
Hilos,Dartboard,262736325,2,1,1.2644
Hilos,Dartboard,394104487,2,1,1.9057
Hilos,Dartboard,591156730,2,1,2.8378
Hilos,Dartboard,886735095,2,1,4.2646
Hilos,Dartboard,1330102642,2,1,6.4014
Hilos,Dartboard,175157550,2,2,0.8491
Hilos,Dartboard,262736325,2,2,1.2693
Hilos,Dartboard,394104487,2,2,1.9047
Hilos,Dartboard,591156730,2,2,2.8702
Hilos,Dartboard,886735095,2,2,4.2859
Hilos,Dartboard,1330102642,2,2,6.4276
Hilos,Dartboard,175157550,2,3,0.8525
Hilos,Dartboard,262736325,2,3,1.2767
Hilos,Dartboard,394104487,2,3,1.9096
Hilos,Dartboard,591156730,2,3,2.8638
Hilos,Dartboard,886735095,2,3,4.3068
Hilos,Dartboard,1330102642,2,3,6.4689
Hilos,Dartboard,175157550,2,4,0.8552
Hilos,Dartboard,262736325,2,4,1.2702
Hilos,Dartboard,394104487,2,4,1.9145
Hilos,Dartboard,591156730,2,4,2.8784
Hilos,Dartboard,886735095,2,4,4.3107
Hilos,Dartboard,1330102642,2,4,6.4517
Hilos,Dartboard,175157550,2,5,0.8549
Hilos,Dartboard,262736325,2,5,1.2816
Hilos,Dartboard,394104487,2,5,1.9168
Hilos,Dartboard,591156730,2,5,2.8775
Hilos,Dartboard,886735095,2,5,4.3156
Hilos,Dartboard,1330102642,2,5,6.4801
Hilos,Dartboard,175157550,2,6,0.8585
Hilos,Dartboard,262736325,2,6,1.2832
Hilos,Dartboard,394104487,2,6,1.9208
Hilos,Dartboard,591156730,2,6,2.8857
Hilos,Dartboard,886735095,2,6,4.3253
Hilos,Dartboard,1330102642,2,6,6.4735
Hilos,Dartboard,175157550,2,7,0.8587
Hilos,Dartboard,262736325,2,7,1.2837
Hilos,Dartboard,394104487,2,7,1.9268
Hilos,Dartboard,591156730,2,7,2.8880
Hilos,Dartboard,886735095,2,7,4.3161
Hilos,Dartboard,1330102642,2,7,6.4513
