modo,algoritmo,tamaño,workers,iteracion,tiempo
Hilos,Needles,100000,2,1,0.0064
Hilos,Needles,200000,2,1,0.0073
Hilos,Needles,300000,2,1,0.0102
Hilos,Needles,100000,2,2,0.0053
Hilos,Needles,200000,2,2,0.0067
Hilos,Needles,300000,2,2,0.0112
Hilos,Needles,100000,2,3,0.0053
Hilos,Needles,200000,2,3,0.0067
Hilos,Needles,300000,2,3,0.0095
Hilos,Needles,100000,4,1,0.0063
Hilos,Needles,200000,4,1,0.0062
Hilos,Needles,300000,4,1,0.0066
Hilos,Needles,100000,4,2,0.0043
Hilos,Needles,200000,4,2,0.0054
Hilos,Needles,300000,4,2,0.0062
Hilos,Needles,100000,4,3,0.0037
Hilos,Needles,200000,4,3,0.0067
Hilos,Needles,300000,4,3,0.0061
Hilos,Needles,100000,8,1,0.0036
Hilos,Needles,200000,8,1,0.0042
Hilos,Needles,300000,8,1,0.0052
Hilos,Needles,100000,8,2,0.0041
Hilos,Needles,200000,8,2,0.0061
Hilos,Needles,300000,8,2,0.0068
Hilos,Needles,100000,8,3,0.0033
Hilos,Needles,200000,8,3,0.0051
Hilos,Needles,300000,8,3,0.0050
Hilos,Needles,100000,12,1,0.0038
Hilos,Needles,200000,12,1,0.0040
Hilos,Needles,300000,12,1,0.0063
Hilos,Needles,100000,12,2,0.0039
Hilos,Needles,200000,12,2,0.0043
Hilos,Needles,300000,12,2,0.0053
Hilos,Needles,100000,12,3,0.0050
Hilos,Needles,200000,12,3,0.0039
Hilos,Needles,300000,12,3,0.0046
