N,num_procesos,pi_est,real_time
100000,12,3.126465531,0.001290888
200000,12,3.131899967,0.005618688
300000,12,3.137779916,0.002758248
100000,12,3.126465531,0.002086860
200000,12,3.131899967,0.002405101
300000,12,3.137779916,0.003126924
100000,12,3.126465531,0.001443075
200000,12,3.131899967,0.003528973
300000,12,3.137779916,0.005526995
100000,12,3.120709025,0.006741453
200000,12,3.129057997,0.003415260
300000,12,3.127834600,0.003360978
100000,12,3.120709025,0.002188888
200000,12,3.129057997,0.007575155
300000,12,3.127834600,0.003714645
100000,12,3.120709025,0.002042421
200000,12,3.129057997,0.002187535
300000,12,3.127834600,0.003346040
