modo,algoritmo,tamaño,workers,iteracion,tiempo
Procesos,Dartboard,100000,2,1,0.0041
Procesos,Dartboard,200000,2,1,0.0044
Procesos,Dartboard,300000,2,1,0.0056
Procesos,Dartboard,100000,2,2,0.0107
Procesos,Dartboard,200000,2,2,0.0063
Procesos,Dartboard,300000,2,2,0.0065
Procesos,Dartboard,100000,2,3,0.0040
Procesos,Dartboard,200000,2,3,0.0070
Procesos,Dartboard,300000,2,3,0.0087
Procesos,Dartboard,100000,4,1,0.0048
Procesos,Dartboard,200000,4,1,0.0044
Procesos,Dartboard,300000,4,1,0.0046
Procesos,Dartboard,100000,4,2,0.0041
Procesos,Dartboard,200000,4,2,0.0089
Procesos,Dartboard,300000,4,2,0.0057
Procesos,Dartboard,100000,4,3,0.0040
Procesos,Dartboard,200000,4,3,0.0052
Procesos,Dartboard,300000,4,3,0.0046
Procesos,Dartboard,100000,8,1,0.0041
Procesos,Dartboard,200000,8,1,0.0054
Procesos,Dartboard,300000,8,1,0.0044
Procesos,Dartboard,100000,8,2,0.0044
Procesos,Dartboard,200000,8,2,0.0081
Procesos,Dartboard,300000,8,2,0.0052
Procesos,Dartboard,100000,8,3,0.0046
Procesos,Dartboard,200000,8,3,0.0048
Procesos,Dartboard,300000,8,3,0.0051
Procesos,Dartboard,100000,12,1,0.0044
Procesos,Dartboard,200000,12,1,0.0082
Procesos,Dartboard,300000,12,1,0.0051
Procesos,Dartboard,100000,12,2,0.0045
Procesos,Dartboard,200000,12,2,0.0068
Procesos,Dartboard,300000,12,2,0.0050
Procesos,Dartboard,100000,12,3,0.0043
Procesos,Dartboard,200000,12,3,0.0087
Procesos,Dartboard,300000,12,3,0.0050
