modo,algoritmo,tamaño,workers,iteracion,tiempo
Procesos,Needles,400000,2,1,0.0065
Procesos,Needles,600000,2,1,0.0113
Procesos,Needles,900000,2,1,0.0119
Procesos,Needles,1350000,2,1,0.0200
Procesos,Needles,2025000,2,1,0.0326
Procesos,Needles,3037500,2,1,0.0410
Procesos,Needles,4556250,2,1,0.0545
Procesos,Needles,6834375,2,1,0.0749
Procesos,Needles,10251562,2,1,0.1099
Procesos,Needles,15377343,2,1,0.1585
Procesos,Needles,23066015,2,1,0.2364
Procesos,Needles,34599022,2,1,0.3513
Procesos,Needles,51898533,2,1,0.5218
Procesos,Needles,77847800,2,1,0.7801
Procesos,Needles,116771700,2,1,1.1520
Procesos,Needles,400000,2,2,0.0060
Procesos,Needles,600000,2,2,0.0118
Procesos,Needles,900000,2,2,0.0112
Procesos,Needles,1350000,2,2,0.0178
Procesos,Needles,2025000,2,2,0.0268
Procesos,Needles,3037500,2,2,0.0387
Procesos,Needles,4556250,2,2,0.0533
Procesos,Needles,6834375,2,2,0.0751
Procesos,Needles,10251562,2,2,0.1133
Procesos,Needles,15377343,2,2,0.1617
Procesos,Needles,23066015,2,2,0.2331
Procesos,Needles,34599022,2,2,0.3480
Procesos,Needles,51898533,2,2,0.5198
Procesos,Needles,77847800,2,2,0.7616
Procesos,Needles,116771700,2,2,1.1422
Procesos,Needles,400000,2,3,0.0060
Procesos,Needles,600000,2,3,0.0143
Procesos,Needles,900000,2,3,0.0112
Procesos,Needles,1350000,2,3,0.0178
Procesos,Needles,2025000,2,3,0.0299
Procesos,Needles,3037500,2,3,0.0391
Procesos,Needles,4556250,2,3,0.0530
Procesos,Needles,6834375,2,3,0.0789
Procesos,Needles,10251562,2,3,0.1072
Procesos,Needles,15377343,2,3,0.1595
Procesos,Needles,23066015,2,3,0.2338
Procesos,Needles,34599022,2,3,0.3403
Procesos,Needles,51898533,2,3,0.5268
Procesos,Needles,77847800,2,3,0.7659
Procesos,Needles,116771700,2,3,1.1357
Procesos,Needles,400000,2,4,0.0060
Procesos,Needles,600000,2,4,0.0082
Procesos,Needles,900000,2,4,0.0116
Procesos,Needles,1350000,2,4,0.0178
Procesos,Needles,2025000,2,4,0.0270
Procesos,Needles,3037500,2,4,0.0382
Procesos,Needles,4556250,2,4,0.0503
Procesos,Needles,6834375,2,4,0.0761
Procesos,Needles,10251562,2,4,0.1108
Procesos,Needles,15377343,2,4,0.1560
Procesos,Needles,23066015,2,4,0.2305
Procesos,Needles,34599022,2,4,0.3418
Procesos,Needles,51898533,2,4,0.5100
Procesos,Needles,77847800,2,4,0.7512
Procesos,Needles,116771700,2,4,1.1340
Procesos,Needles,400000,2,5,0.0059
Procesos,Needles,600000,2,5,0.0082
Procesos,Needles,900000,2,5,0.0142
Procesos,Needles,1350000,2,5,0.0242
Procesos,Needles,2025000,2,5,0.0283
Procesos,Needles,3037500,2,5,0.0369
Procesos,Needles,4556250,2,5,0.0522
Procesos,Needles,6834375,2,5,0.0725
Procesos,Needles,10251562,2,5,0.1061
Procesos,Needles,15377343,2,5,0.1572
Procesos,Needles,23066015,2,5,0.2282
Procesos,Needles,34599022,2,5,0.3397
Procesos,Needles,51898533,2,5,0.5073
Procesos,Needles,77847800,2,5,0.7566
Procesos,Needles,116771700,2,5,1.1358
Procesos,Needles,400000,2,6,0.0059
Procesos,Needles,600000,2,6,0.0090
Procesos,Needles,900000,2,6,0.0112
Procesos,Needles,1350000,2,6,0.0170
Procesos,Needles,2025000,2,6,0.0286
Procesos,Needles,3037500,2,6,0.0362
Procesos,Needles,4556250,2,6,0.0545
Procesos,Needles,6834375,2,6,0.0757
Procesos,Needles,10251562,2,6,0.1066
Procesos,Needles,15377343,2,6,0.1550
Procesos,Needles,23066015,2,6,0.2330
Procesos,Needles,34599022,2,6,0.3408
Procesos,Needles,51898533,2,6,0.5238
Procesos,Needles,77847800,2,6,0.7594
Procesos,Needles,116771700,2,6,1.1272
Procesos,Needles,400000,2,7,0.0060
Procesos,Needles,600000,2,7,0.0106
Procesos,Needles,900000,2,7,0.0114
Procesos,Needles,1350000,2,7,0.0174
Procesos,Needles,2025000,2,7,0.0259
Procesos,Needles,3037500,2,7,0.0402
Procesos,Needles,4556250,2,7,0.0506
Procesos,Needles,6834375,2,7,0.0732
Procesos,Needles,10251562,2,7,0.1069
Procesos,Needles,15377343,2,7,0.1545
Procesos,Needles,23066015,2,7,0.2298
Procesos,Needles,34599022,2,7,0.3377
Procesos,Needles,51898533,2,7,0.5031
Procesos,Needles,77847800,2,7,0.7531
Procesos,Needles,116771700,2,7,1.1467
Procesos,Needles,400000,2,8,0.0060
Procesos,Needles,600000,2,8,0.0067
Procesos,Needles,900000,2,8,0.0111
Procesos,Needles,1350000,2,8,0.0175
Procesos,Needles,2025000,2,8,0.0249
Procesos,Needles,3037500,2,8,0.0364
Procesos,Needles,4556250,2,8,0.0520
Procesos,Needles,6834375,2,8,0.0725
Procesos,Needles,10251562,2,8,0.1062
Procesos,Needles,15377343,2,8,0.1571
Procesos,Needles,23066015,2,8,0.2294
Procesos,Needles,34599022,2,8,0.3393
Procesos,Needles,51898533,2,8,0.5043
Procesos,Needles,77847800,2,8,0.7510
Procesos,Needles,116771700,2,8,1.1139
Procesos,Needles,400000,2,9,0.0059
Procesos,Needles,600000,2,9,0.0089
Procesos,Needles,900000,2,9,0.0120
Procesos,Needles,1350000,2,9,0.0205
Procesos,Needles,2025000,2,9,0.0260
Procesos,Needles,3037500,2,9,0.0419
Procesos,Needles,4556250,2,9,0.0521
Procesos,Needles,6834375,2,9,0.0727
Procesos,Needles,10251562,2,9,0.1073
Procesos,Needles,15377343,2,9,0.1565
Procesos,Needles,23066015,2,9,0.2274
Procesos,Needles,34599022,2,9,0.3441
Procesos,Needles,51898533,2,9,0.5040
Procesos,Needles,77847800,2,9,0.7527
Procesos,Needles,116771700,2,9,1.1161
Procesos,Needles,400000,2,10,0.0060
Procesos,Needles,600000,2,10,0.0081
Procesos,Needles,900000,2,10,0.0126
Procesos,Needles,1350000,2,10,0.0186
Procesos,Needles,2025000,2,10,0.0317
Procesos,Needles,3037500,2,10,0.0381
Procesos,Needles,4556250,2,10,0.0514
Procesos,Needles,6834375,2,10,0.0719
Procesos,Needles,10251562,2,10,0.1064
Procesos,Needles,15377343,2,10,0.1553
Procesos,Needles,23066015,2,10,0.2311
Procesos,Needles,34599022,2,10,0.3375
Procesos,Needles,51898533,2,10,0.5050
Procesos,Needles,77847800,2,10,0.7497
Procesos,Needles,116771700,2,10,1.1376
Procesos,Needles,400000,4,1,0.0042
Procesos,Needles,600000,4,1,0.0049
Procesos,Needles,900000,4,1,0.0105
Procesos,Needles,1350000,4,1,0.0093
Procesos,Needles,2025000,4,1,0.0176
Procesos,Needles,3037500,4,1,0.0197
Procesos,Needles,4556250,4,1,0.0374
Procesos,Needles,6834375,4,1,0.0439
Procesos,Needles,10251562,4,1,0.0627
Procesos,Needles,15377343,4,1,0.0938
Procesos,Needles,23066015,4,1,0.1388
Procesos,Needles,34599022,4,1,0.2051
Procesos,Needles,51898533,4,1,0.3027
Procesos,Needles,77847800,4,1,0.4509
Procesos,Needles,116771700,4,1,0.6782
Procesos,Needles,400000,4,2,0.0048
Procesos,Needles,600000,4,2,0.0056
Procesos,Needles,900000,4,2,0.0121
Procesos,Needles,1350000,4,2,0.0101
Procesos,Needles,2025000,4,2,0.0181
Procesos,Needles,3037500,4,2,0.0235
Procesos,Needles,4556250,4,2,0.0328
Procesos,Needles,6834375,4,2,0.0458
Procesos,Needles,10251562,4,2,0.0698
Procesos,Needles,15377343,4,2,0.0924
Procesos,Needles,23066015,4,2,0.1382
Procesos,Needles,34599022,4,2,0.2039
Procesos,Needles,51898533,4,2,0.3043
Procesos,Needles,77847800,4,2,0.4492
Procesos,Needles,116771700,4,2,0.6844
Procesos,Needles,400000,4,3,0.0050
Procesos,Needles,600000,4,3,0.0055
Procesos,Needles,900000,4,3,0.0067
Procesos,Needles,1350000,4,3,0.0109
Procesos,Needles,2025000,4,3,0.0167
Procesos,Needles,3037500,4,3,0.0222
Procesos,Needles,4556250,4,3,0.0325
Procesos,Needles,6834375,4,3,0.0471
