N,pi_est,user_time
400000,3.136922757,0.016668000
600000,3.137435356,0.029303000
900000,3.140445978,0.042845000
1350000,3.139662661,0.063002000
2025000,3.140099615,0.093388000
3037500,3.140378810,0.126600000
4556250,3.142169868,0.196330000
6834375,3.140876001,0.275470000
10251562,3.141186461,0.423368000
15377343,3.140777936,0.649187000
23066015,3.140809438,0.952196000
34599022,3.141669462,1.383325000
51898533,3.141335683,2.078985000
77847800,3.141512892,3.127378000
116771700,3.141368355,4.725193000
400000,3.139286205,0.016436000
600000,3.140185742,0.027325000
900000,3.140522688,0.044105000
1350000,3.141584219,0.064278000
2025000,3.141690229,0.092292000
3037500,3.142809252,0.124521000
4556250,3.142164450,0.187855000
6834375,3.142087525,0.285258000
10251562,3.142031276,0.410404000
15377343,3.141313034,0.618288000
23066015,3.141202945,0.956634000
34599022,3.141538671,1.409389000
51898533,3.141310870,2.124205000
77847800,3.141278377,3.124734000
116771700,3.141557327,4.873602000
400000,3.139520281,0.018972000
600000,3.141468165,0.029177000
900000,3.142249641,0.050641000
1350000,3.143325149,0.065886000
2025000,3.140718131,0.100076000
3037500,3.140070400,0.137548000
4556250,3.140766302,0.200621000
6834375,3.141246290,0.314518000
10251562,3.141339505,0.441255000
15377343,3.141384908,0.650799000
23066015,3.141960297,1.002908000
34599022,3.141695993,1.527128000
51898533,3.141059244,2.247597000
77847800,3.141546171,3.364556000
116771700,3.141575499,4.928936000
400000,3.140765169,0.014712000
600000,3.139314949,0.030021000
900000,3.138961841,0.044207000
1350000,3.140568350,0.061520000
2025000,3.140912990,0.083686000
3037500,3.141172839,0.129501000
4556250,3.139256920,0.188582000
6834375,3.140388911,0.270280000
10251562,3.140722608,0.398135000
15377343,3.140855238,0.588938000
23066015,3.141700317,0.878775000
34599022,3.141512714,1.326110000
51898533,3.141420108,1.992325000
77847800,3.141305757,2.964085000
116771700,3.141233105,4.422936000
400000,3.143739635,0.015744000
600000,3.139733855,0.026896000
900000,3.141213241,0.040906000
1350000,3.141851086,0.059623000
2025000,3.142960467,0.087147000
3037500,3.141361257,0.121270000
4556250,3.141836191,0.173350000
6834375,3.140926522,0.261447000
10251562,3.141590760,0.390613000
15377343,3.142020041,0.587012000
23066015,3.141782693,0.865832000
34599022,3.141328316,1.299637000
51898533,3.142011967,1.970411000
77847800,3.141469790,2.941559000
116771700,3.141531127,4.395044000
400000,3.141949344,0.016095000
600000,3.141673779,0.024557000
900000,3.143144017,0.045943000
1350000,3.141452631,0.057350000
2025000,3.142562950,0.084322000
3037500,3.142017646,0.128295000
4556250,3.141374793,0.183037000
6834375,3.141044894,0.256424000
10251562,3.141412182,0.388682000
15377343,3.140850427,0.582719000
23066015,3.141825487,0.870010000
34599022,3.141517420,1.278029000
51898533,3.141614644,1.941554000
77847800,3.141192186,2.907616000
116771700,3.141645483,4.399879000
400000,3.140222720,0.014685000
600000,3.138666276,0.024528000
900000,3.141152943,0.036043000
1350000,3.141851086,0.054169000
2025000,3.143128771,0.080453000
3037500,3.142510118,0.120783000
4556250,3.141693208,0.171761000
6834375,3.140638571,0.256822000
10251562,3.141437211,0.384678000
15377343,3.141894534,0.574436000
23066015,3.141236740,0.859853000
34599022,3.141608558,1.297686000
51898533,3.141413833,1.958486000
77847800,3.141562018,2.911174000
116771700,3.141268005,4.365207000
400000,3.139434039,0.015384000
600000,3.143426702,0.023651000
900000,3.141613463,0.035422000
1350000,3.142384954,0.052190000
2025000,3.141680481,0.077654000
3037500,3.142212666,0.116485000
4556250,3.142178536,0.169352000
6834375,3.141787084,0.259413000
10251562,3.141067598,0.377336000
15377343,3.141118286,0.574044000
23066015,3.141918569,0.867620000
34599022,3.141057818,1.281069000
51898533,3.141504537,1.922787000
77847800,3.141589973,2.931308000
116771700,3.141787742,4.368995000
400000,3.143838470,0.015153000
600000,3.139134279,0.022183000
900000,3.137796326,0.040527000
1350000,3.139881731,0.055622000
2025000,3.141773093,0.080967000
3037500,3.141000684,0.112669000
4556250,3.141230770,0.171133000
6834375,3.141698985,0.259657000
10251562,3.142231595,0.384168000
15377343,3.142351670,0.577190000
23066015,3.141481882,0.847910000
34599022,3.141038142,1.290410000
51898533,3.141687102,1.935680000
77847800,3.141735904,2.858730000
116771700,3.141927647,4.401956000
400000,3.141480501,0.014687000
600000,3.141237910,0.023749000
900000,3.139618850,0.037754000
1350000,3.138662627,0.051784000
2025000,3.138262549,0.079234000
3037500,3.140713260,0.115690000
4556250,3.140948175,0.170703000
6834375,3.140779292,0.254618000
10251562,3.140574435,0.385455000
15377343,3.140821559,0.566756000
23066015,3.140810507,0.857832000
34599022,3.141446396,1.273018000
51898533,3.141272558,1.925648000
77847800,3.141887048,2.881333000
116771700,3.141667966,4.352831000
