modo,algoritmo,tamaño,workers,iteracion,tiempo
Secuencial,Dartboard,400000,-,1,0.0033
Secuencial,Dartboard,600000,-,1,0.0040
Secuencial,Dartboard,900000,-,1,0.0051
Secuencial,Dartboard,1350000,-,1,0.0073
Secuencial,Dartboard,2025000,-,1,0.0119
Secuencial,Dartboard,3037500,-,1,0.0161
Secuencial,Dartboard,4556250,-,1,0.0213
Secuencial,Dartboard,6834375,-,1,0.0306
Secuencial,Dartboard,10251562,-,1,0.0484
Secuencial,Dartboard,15377343,-,1,0.0626
Secuencial,Dartboard,23066015,-,1,0.0865
Secuencial,Dartboard,34599022,-,1,0.1284
Secuencial,Dartboard,51898533,-,1,0.1989
Secuencial,Dartboard,77847800,-,1,0.2982
Secuencial,Dartboard,116771700,-,1,0.4140
Secuencial,Dartboard,400000,-,2,0.0034
Secuencial,Dartboard,600000,-,2,0.0039
Secuencial,Dartboard,900000,-,2,0.0054
Secuencial,Dartboard,1350000,-,2,0.0079
Secuencial,Dartboard,2025000,-,2,0.0115
Secuencial,Dartboard,3037500,-,2,0.0145
Secuencial,Dartboard,4556250,-,2,0.0211
Secuencial,Dartboard,6834375,-,2,0.0324
Secuencial,Dartboard,10251562,-,2,0.0449
Secuencial,Dartboard,15377343,-,2,0.0683
Secuencial,Dartboard,23066015,-,2,0.0928
Secuencial,Dartboard,34599022,-,2,0.1391
Secuencial,Dartboard,51898533,-,2,0.2098
Secuencial,Dartboard,77847800,-,2,0.2910
Secuencial,Dartboard,116771700,-,2,0.4104
Secuencial,Dartboard,400000,-,3,0.0031
Secuencial,Dartboard,600000,-,3,0.0035
Secuencial,Dartboard,900000,-,3,0.0044
Secuencial,Dartboard,1350000,-,3,0.0075
Secuencial,Dartboard,2025000,-,3,0.0098
Secuencial,Dartboard,3037500,-,3,0.0139
Secuencial,Dartboard,4556250,-,3,0.0217
Secuencial,Dartboard,6834375,-,3,0.0315
Secuencial,Dartboard,10251562,-,3,0.0467
Secuencial,Dartboard,15377343,-,3,0.0655
Secuencial,Dartboard,23066015,-,3,0.0955
Secuencial,Dartboard,34599022,-,3,0.1304
Secuencial,Dartboard,51898533,-,3,0.1976
Secuencial,Dartboard,77847800,-,3,0.2818
Secuencial,Dartboard,116771700,-,3,0.4142
Secuencial,Dartboard,400000,-,4,0.0034
Secuencial,Dartboard,600000,-,4,0.0043
Secuencial,Dartboard,900000,-,4,0.0046
Secuencial,Dartboard,1350000,-,4,0.0073
Secuencial,Dartboard,2025000,-,4,0.0105
Secuencial,Dartboard,3037500,-,4,0.0207
Secuencial,Dartboard,4556250,-,4,0.0218
Secuencial,Dartboard,6834375,-,4,0.0344
Secuencial,Dartboard,10251562,-,4,0.0491
Secuencial,Dartboard,15377343,-,4,0.0674
Secuencial,Dartboard,23066015,-,4,0.0877
Secuencial,Dartboard,34599022,-,4,0.1353
Secuencial,Dartboard,51898533,-,4,0.1962
Secuencial,Dartboard,77847800,-,4,0.2949
Secuencial,Dartboard,116771700,-,4,0.4232
Secuencial,Dartboard,400000,-,5,0.0039
Secuencial,Dartboard,600000,-,5,0.0040
Secuencial,Dartboard,900000,-,5,0.0057
Secuencial,Dartboard,1350000,-,5,0.0073
Secuencial,Dartboard,2025000,-,5,0.0124
Secuencial,Dartboard,3037500,-,5,0.0148
Secuencial,Dartboard,4556250,-,5,0.0217
Secuencial,Dartboard,6834375,-,5,0.0382
Secuencial,Dartboard,10251562,-,5,0.0489
Secuencial,Dartboard,15377343,-,5,0.0659
Secuencial,Dartboard,23066015,-,5,0.0961
Secuencial,Dartboard,34599022,-,5,0.1426
Secuencial,Dartboard,51898533,-,5,0.1979
Secuencial,Dartboard,77847800,-,5,0.3000
Secuencial,Dartboard,116771700,-,5,0.4466
Secuencial,Dartboard,400000,-,6,0.0035
Secuencial,Dartboard,600000,-,6,0.0043
Secuencial,Dartboard,900000,-,6,0.0064
Secuencial,Dartboard,1350000,-,6,0.0086
Secuencial,Dartboard,2025000,-,6,0.0104
Secuencial,Dartboard,3037500,-,6,0.0143
Secuencial,Dartboard,4556250,-,6,0.0261
Secuencial,Dartboard,6834375,-,6,0.0324
Secuencial,Dartboard,10251562,-,6,0.0472
Secuencial,Dartboard,15377343,-,6,0.0650
Secuencial,Dartboard,23066015,-,6,0.1042
Secuencial,Dartboard,34599022,-,6,0.1342
Secuencial,Dartboard,51898533,-,6,0.2008
Secuencial,Dartboard,77847800,-,6,0.3008
Secuencial,Dartboard,116771700,-,6,0.4476
Secuencial,Dartboard,400000,-,7,0.0032
Secuencial,Dartboard,600000,-,7,0.0044
Secuencial,Dartboard,900000,-,7,0.0069
Secuencial,Dartboard,1350000,-,7,0.0083
Secuencial,Dartboard,2025000,-,7,0.0104
Secuencial,Dartboard,3037500,-,7,0.0153
Secuencial,Dartboard,4556250,-,7,0.0206
Secuencial,Dartboard,6834375,-,7,0.0331
Secuencial,Dartboard,10251562,-,7,0.0460
Secuencial,Dartboard,15377343,-,7,0.0673
Secuencial,Dartboard,23066015,-,7,0.0941
Secuencial,Dartboard,34599022,-,7,0.1415
Secuencial,Dartboard,51898533,-,7,0.2030
Secuencial,Dartboard,77847800,-,7,0.2933
Secuencial,Dartboard,116771700,-,7,0.4425
Secuencial,Dartboard,400000,-,8,0.0038
Secuencial,Dartboard,600000,-,8,0.0044
Secuencial,Dartboard,900000,-,8,0.0066
Secuencial,Dartboard,1350000,-,8,0.0080
Secuencial,Dartboard,2025000,-,8,0.0128
Secuencial,Dartboard,3037500,-,8,0.0159
Secuencial,Dartboard,4556250,-,8,0.0229
Secuencial,Dartboard,6834375,-,8,0.0333
Secuencial,Dartboard,10251562,-,8,0.0471
Secuencial,Dartboard,15377343,-,8,0.0665
Secuencial,Dartboard,23066015,-,8,0.0963
Secuencial,Dartboard,34599022,-,8,0.1345
Secuencial,Dartboard,51898533,-,8,0.2059
Secuencial,Dartboard,77847800,-,8,0.3096
Secuencial,Dartboard,116771700,-,8,0.4315
Secuencial,Dartboard,400000,-,9,0.0030
Secuencial,Dartboard,600000,-,9,0.0035
Secuencial,Dartboard,900000,-,9,0.0051
Secuencial,Dartboard,1350000,-,9,0.0074
Secuencial,Dartboard,2025000,-,9,0.0098
Secuencial,Dartboard,3037500,-,9,0.0165
Secuencial,Dartboard,4556250,-,9,0.0231
Secuencial,Dartboard,6834375,-,9,0.0311
Secuencial,Dartboard,10251562,-,9,0.0465
Secuencial,Dartboard,15377343,-,9,0.0651
Secuencial,Dartboard,23066015,-,9,0.0942
Secuencial,Dartboard,34599022,-,9,0.1311
Secuencial,Dartboard,51898533,-,9,0.1982
Secuencial,Dartboard,77847800,-,9,0.2819
Secuencial,Dartboard,116771700,-,9,0.4128
Secuencial,Dartboard,400000,-,10,0.0028
Secuencial,Dartboard,600000,-,10,0.0037
Secuencial,Dartboard,900000,-,10,0.0048
Secuencial,Dartboard,1350000,-,10,0.0071
Secuencial,Dartboard,2025000,-,10,0.0103
Secuencial,Dartboard,3037500,-,10,0.0153
Secuencial,Dartboard,4556250,-,10,0.0212
Secuencial,Dartboard,6834375,-,10,0.0319
Secuencial,Dartboard,10251562,-,10,0.0470
Secuencial,Dartboard,15377343,-,10,0.0654
Secuencial,Dartboard,23066015,-,10,0.0898
Secuencial,Dartboard,34599022,-,10,0.1312
Secuencial,Dartboard,51898533,-,10,0.1876
Secuencial,Dartboard,77847800,-,10,0.2813
Secuencial,Dartboard,116771700,-,10,0.4242
