modo,algoritmo,tamaño,workers,iteracion,tiempo
Secuencial,Needles,175157550,-,1,5.8519
Secuencial,Needles,262736325,-,1,8.8220
Secuencial,Needles,394104487,-,1,13.2595
Secuencial,Needles,591156730,-,1,19.9837
Secuencial,Needles,886735095,-,1,29.9333
Secuencial,Needles,1330102642,-,1,45.2993
Secuencial,Needles,175157550,-,2,5.9430
Secuencial,Needles,262736325,-,2,8.8955
Secuencial,Needles,394104487,-,2,13.3228
Secuencial,Needles,591156730,-,2,20.4587
Secuencial,Needles,886735095,-,2,29.5434
Secuencial,Needles,1330102642,-,2,44.8291
Secuencial,Needles,175157550,-,3,5.9534
Secuencial,Needles,262736325,-,3,8.9324
Secuencial,Needles,394104487,-,3,13.2533
Secuencial,Needles,591156730,-,3,19.8660
Secuencial,Needles,886735095,-,3,30.1189
Secuencial,Needles,1330102642,-,3,45.3980
Secuencial,Needles,175157550,-,4,5.9775
Secuencial,Needles,262736325,-,4,8.9063
Secuencial,Needles,394104487,-,4,13.2393
Secuencial,Needles,591156730,-,4,20.0669
Secuencial,Needles,886735095,-,4,30.0483
Secuencial,Needles,1330102642,-,4,44.7000
Secuencial,Needles,175157550,-,5,5.9428
Secuencial,Needles,262736325,-,5,8.9428
Secuencial,Needles,394104487,-,5,13.4245
Secuencial,Needles,591156730,-,5,20.0272
Secuencial,Needles,886735095,-,5,30.0584
Secuencial,Needles,1330102642,-,5,45.0650
Secuencial,Needles,175157550,-,6,5.9534
Secuencial,Needles,262736325,-,6,8.9315
Secuencial,Needles,394104487,-,6,13.3270
Secuencial,Needles,591156730,-,6,20.1302
Secuencial,Needles,886735095,-,6,30.0475
Secuencial,Needles,1330102642,-,6,45.0470
Secuencial,Needles,175157550,-,7,5.9487
Secuencial,Needles,262736325,-,7,8.9434
Secuencial,Needles,394104487,-,7,13.2006
Secuencial,Needles,591156730,-,7,20.0667
Secuencial,Needles,886735095,-,7,30.0664
Secuencial,Needles,1330102642,-,7,45.2658
Secuencial,Needles,175157550,-,8,5.9562
Secuencial,Needles,262736325,-,8,8.7982
Secuencial,Needles,394104487,-,8,13.3634
Secuencial,Needles,591156730,-,8,20.0569
Secuencial,Needles,886735095,-,8,30.0466
Secuencial,Needles,1330102642,-,8,44.5606
Secuencial,Needles,175157550,-,9,5.9660
Secuencial,Needles,262736325,-,9,8.9536
Secuencial,Needles,394104487,-,9,13.2559
Secuencial,Needles,591156730,-,9,20.0709
Secuencial,Needles,886735095,-,9,30.1162
Secuencial,Needles,1330102642,-,9,44.6240
Secuencial,Needles,175157550,-,10,5.8903
Secuencial,Needles,262736325,-,10,8.9660
Secuencial,Needles,394104487,-,10,13.4296
Secuencial,Needles,591156730,-,10,19.8458
Secuencial,Needles,886735095,-,10,30.1280
Secuencial,Needles,1330102642,-,10,45.0226
