size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm,pi_est
400000,2,0.002773498,0.004269000,0.000420000,0.004689000,400000,0.144222,144.222206,1,openmp_dartboard,3.141450000
600000,2,0.003741700,0.005913000,0.000238000,0.006151000,600000,0.160355,160.354919,1,openmp_dartboard,3.141413333
900000,2,0.003788648,0.006156000,0.000451000,0.006607000,900000,0.237552,237.551760,1,openmp_dartboard,3.141457778
1350000,2,0.005385473,0.010578000,0.000000000,0.010578000,1350000,0.250674,250.674360,1,openmp_dartboard,3.141522963
2025000,2,0.007926403,0.014877000,0.000000000,0.014877000,2025000,0.255475,255.475277,1,openmp_dartboard,3.141544691
3037500,2,0.013600558,0.026306000,0.000000000,0.026306000,3037500,0.223336,223.336425,1,openmp_dartboard,3.141580905
4556250,2,0.019923404,0.039263000,0.000000000,0.039263000,4556250,0.228688,228.688331,1,openmp_dartboard,3.141550178
6834375,2,0.029471869,0.057594000,0.000539000,0.058133000,6834375,0.231895,231.894862,1,openmp_dartboard,3.141581198
10251562,2,0.042665652,0.085130000,0.000000000,0.085130000,10251562,0.240277,240.276698,1,openmp_dartboard,3.141580961
15377343,2,0.062337252,0.124402000,0.000000000,0.124402000,15377343,0.246680,246.679834,1,openmp_dartboard,3.141588505
23066015,2,0.090772662,0.180162000,0.000504000,0.180666000,23066015,0.254108,254.107509,1,openmp_dartboard,3.141596674
34599022,2,0.136037093,0.270988000,0.000395000,0.271383000,34599022,0.254335,254.335205,1,openmp_dartboard,3.141595274
51898533,2,0.206078010,0.411098000,0.000414000,0.411512000,51898533,0.251839,251.839257,1,openmp_dartboard,3.141590842
77847800,2,0.303620274,0.605722000,0.000449000,0.606171000,77847800,0.256399,256.398557,1,openmp_dartboard,3.141588895
116771700,2,0.461745539,0.922766000,0.000000000,0.922766000,116771700,0.252892,252.891886,1,openmp_dartboard,3.141587285
175157550,2,0.681409360,1.361926000,0.000000000,1.361926000,175157550,0.257052,257.051870,1,openmp_dartboard,3.141588678
262736325,2,1.021158697,2.037333000,0.000521000,2.037854000,262736325,0.257292,257.292354,1,openmp_dartboard,3.141586775
394104487,2,1.525647029,3.049223000,0.000000000,3.049223000,394104487,0.258320,258.319572,1,openmp_dartboard,3.141587505
591156730,2,2.300143769,4.593353000,0.000451000,4.593804000,591156730,0.257009,257.008600,1,openmp_dartboard,3.141588106
886735095,2,3.459190394,6.917904000,0.000000000,6.917904000,886735095,0.256342,256.341801,1,openmp_dartboard,3.141587669
1330102642,2,5.206762154,10.410782000,0.001429000,10.412211000,1330102642,0.255457,255.456770,1,openmp_dartboard,3.141587658
400000,2,0.001848026,0.003107000,0.000000000,0.003107000,400000,0.216447,216.447171,1,openmp_dartboard,3.141450000
600000,2,0.002384606,0.003879000,0.000426000,0.004305000,600000,0.251614,251.613893,1,openmp_dartboard,3.141413333
900000,2,0.008151745,0.012140000,0.000287000,0.012427000,900000,0.110406,110.405809,1,openmp_dartboard,3.141484444
1350000,2,0.006833545,0.013034000,0.000393000,0.013427000,1350000,0.197555,197.554856,1,openmp_dartboard,3.141502222
2025000,2,0.011592508,0.021462000,0.001003000,0.022465000,2025000,0.174682,174.681786,1,openmp_dartboard,3.141540741
3037500,2,0.021461243,0.040423000,0.001001000,0.041424000,3037500,0.141534,141.534207,1,openmp_dartboard,3.141584856
4556250,2,0.023527520,0.046876000,0.000000000,0.046876000,4556250,0.193656,193.656195,1,openmp_dartboard,3.141556324
6834375,2,0.031937830,0.063388000,0.000000000,0.063388000,6834375,0.213990,213.989961,1,openmp_dartboard,3.141581198
10251562,2,0.046036221,0.091273000,0.000493000,0.091766000,10251562,0.222685,222.684699,1,openmp_dartboard,3.141582522
15377343,2,0.064473785,0.127822000,0.000534000,0.128356000,15377343,0.238505,238.505355,1,openmp_dartboard,3.141588244
23066015,2,0.094777812,0.189152000,0.000000000,0.189152000,23066015,0.243369,243.369355,1,openmp_dartboard,3.141596500
34599022,2,0.140306056,0.279658000,0.000540000,0.280198000,34599022,0.246597,246.596783,1,openmp_dartboard,3.141595621
51898533,2,0.208903379,0.416277000,0.000544000,0.416821000,51898533,0.248433,248.433191,1,openmp_dartboard,3.141590765
77847800,2,0.310476844,0.619810000,0.000000000,0.619810000,77847800,0.250736,250.736251,1,openmp_dartboard,3.141588998
116771700,2,0.467123514,0.933184000,0.000418000,0.933602000,116771700,0.249980,249.980351,1,openmp_dartboard,3.141587491
175157550,2,0.704607059,1.405664000,0.000549000,1.406213000,175157550,0.248589,248.588980,1,openmp_dartboard,3.141588930
262736325,2,1.055908136,2.105366000,0.000000000,2.105366000,262736325,0.248825,248.824984,1,openmp_dartboard,3.141586790
394104487,2,1.566174491,3.131391000,0.000000000,3.131391000,394104487,0.251635,251.635108,1,openmp_dartboard,3.141587464
591156730,2,2.338528560,4.676353000,0.000000000,4.676353000,591156730,0.252790,252.790041,1,openmp_dartboard,3.141588093
886735095,2,3.531500972,7.054204000,0.000476000,7.054680000,886735095,0.251093,251.092978,1,openmp_dartboard,3.141587687
