size,threads,real_time,user_time,system_time,total_cpu_time,total_operations,gops,elements_per_second_millions,memory_used_mb,algorithm,pi_est
400000,2,0.003072697,0.005249000,0.000240000,0.005489000,400000,0.130179,130.178797,2,openmp_needles,3.141443493
600000,2,0.004865992,0.009174000,0.000345000,0.009519000,600000,0.123305,123.304765,2,openmp_needles,3.141575081
900000,2,0.010337461,0.016113000,0.000266000,0.016379000,900000,0.087062,87.061997,2,openmp_needles,3.141668296
1350000,2,0.013727444,0.026932000,0.000000000,0.026932000,1350000,0.098343,98.343144,2,openmp_needles,3.141719475
2025000,2,0.019281838,0.037475000,0.000383000,0.037858000,2025000,0.105021,105.021108,2,openmp_needles,3.141604933
3037500,2,0.031311626,0.061378000,0.000000000,0.061378000,3037500,0.097009,97.008696,2,openmp_needles,3.141655298
4556250,2,0.038617888,0.075579000,0.001002000,0.076581000,4556250,0.117983,117.982889,2,openmp_needles,3.141593561
6834375,2,0.056447410,0.112752000,0.000000000,0.112752000,6834375,0.121075,121.075086,2,openmp_needles,3.141575510
10251562,2,0.080507365,0.160436000,0.000000000,0.160436000,10251562,0.127337,127.336946,2,openmp_needles,3.141590279
15377343,2,0.116484237,0.232012000,0.000000000,0.232012000,15377343,0.132012,132.012222,2,openmp_needles,3.141563964
23066015,2,0.174203834,0.347435000,0.000415000,0.347850000,23066015,0.132408,132.408194,2,openmp_needles,3.141586496
34599022,2,0.258534636,0.516545000,0.000300000,0.516845000,34599022,0.133827,133.827415,2,openmp_needles,3.141593725
51898533,2,0.380567133,0.760283000,0.000359000,0.760642000,51898533,0.136372,136.371558,2,openmp_needles,3.141575944
77847800,2,0.574231329,1.142140000,0.000000000,1.142140000,77847800,0.135569,135.568709,2,openmp_needles,3.141579007
116771700,2,0.846330745,1.688933000,0.000461000,1.689394000,116771700,0.137974,137.974073,2,openmp_needles,3.141579852
175157550,2,1.263172254,2.508465000,0.000000000,2.508465000,175157550,0.138665,138.664817,2,openmp_needles,3.141583683
262736325,2,1.875817805,3.723335000,0.000397000,3.723732000,262736325,0.140065,140.064949,2,openmp_needles,3.141582688
394104487,2,2.791863748,5.554241000,0.000351000,5.554592000,394104487,0.141162,141.161791,2,openmp_needles,3.141581870
591156730,2,4.230388696,8.357978000,0.000000000,8.357978000,591156730,0.139741,139.740523,2,openmp_needles,3.141582460
886735095,2,6.329958058,12.513995000,0.000376000,12.514371000,886735095,0.140085,140.085461,2,openmp_needles,3.141582928
1330102642,2,9.348780913,18.490239000,0.000399000,18.490638000,1330102642,0.142276,142.275517,2,openmp_needles,3.141582826
400000,2,0.003184375,0.005200000,0.000978000,0.006178000,400000,0.125613,125.613346,2,openmp_needles,3.141246132
600000,2,0.006006702,0.011240000,0.000000000,0.011240000,600000,0.099888,99.888425,2,openmp_needles,3.141542183
900000,2,0.006938150,0.011850000,0.001039000,0.012889000,900000,0.129718,129.717576,2,openmp_needles,3.141701196
1350000,2,0.014138462,0.024908000,0.000244000,0.025152000,1350000,0.095484,95.484219,2,openmp_needles,3.141639051
2025000,2,0.019603928,0.036099000,0.000000000,0.036099000,2025000,0.103296,103.295625,2,openmp_needles,3.141619555
