modo,algoritmo,tamaño,workers,iteracion,tiempo
OpenMP,Dartboard,400000,2,1,0.0047
OpenMP,Dartboard,600000,2,1,0.0054
OpenMP,Dartboard,900000,2,1,0.0055
OpenMP,Dartboard,1350000,2,1,0.0071
OpenMP,Dartboard,2025000,2,1,0.0098
OpenMP,Dartboard,3037500,2,1,0.0157
OpenMP,Dartboard,4556250,2,1,0.0216
OpenMP,Dartboard,6834375,2,1,0.0312
OpenMP,Dartboard,10251562,2,1,0.0442
OpenMP,Dartboard,15377343,2,1,0.0640
OpenMP,Dartboard,23066015,2,1,0.0924
OpenMP,Dartboard,34599022,2,1,0.1378
OpenMP,Dartboard,51898533,2,1,0.2078
OpenMP,Dartboard,77847800,2,1,0.3053
OpenMP,Dartboard,116771700,2,1,0.4635
OpenMP,Dartboard,175157550,2,1,0.6830
OpenMP,Dartboard,262736325,2,1,1.0229
OpenMP,Dartboard,394104487,2,1,1.5277
OpenMP,Dartboard,591156730,2,1,2.3022
OpenMP,Dartboard,886735095,2,1,3.4612
OpenMP,Dartboard,1330102642,2,1,5.2090
OpenMP,Dartboard,400000,2,2,0.0039
OpenMP,Dartboard,600000,2,2,0.0038
OpenMP,Dartboard,900000,2,2,0.0100
OpenMP,Dartboard,1350000,2,2,0.0091
OpenMP,Dartboard,2025000,2,2,0.0138
OpenMP,Dartboard,3037500,2,2,0.0237
OpenMP,Dartboard,4556250,2,2,0.0265
OpenMP,Dartboard,6834375,2,2,0.0349
OpenMP,Dartboard,10251562,2,2,0.0477
OpenMP,Dartboard,15377343,2,2,0.0663
OpenMP,Dartboard,23066015,2,2,0.0965
OpenMP,Dartboard,34599022,2,2,0.1419
OpenMP,Dartboard,51898533,2,2,0.2105
OpenMP,Dartboard,77847800,2,2,0.3123
OpenMP,Dartboard,116771700,2,2,0.4693
OpenMP,Dartboard,175157550,2,2,0.7061
OpenMP,Dartboard,262736325,2,2,1.0577
OpenMP,Dartboard,394104487,2,2,1.5681
OpenMP,Dartboard,591156730,2,2,2.3404
OpenMP,Dartboard,886735095,2,2,3.5333
OpenMP,Dartboard,1330102642,2,2,5.3017
OpenMP,Dartboard,400000,2,3,0.0040
OpenMP,Dartboard,600000,2,3,0.0045
OpenMP,Dartboard,900000,2,3,0.0073
OpenMP,Dartboard,1350000,2,3,0.0070
OpenMP,Dartboard,2025000,2,3,0.0110
OpenMP,Dartboard,3037500,2,3,0.0175
OpenMP,Dartboard,4556250,2,3,0.0274
OpenMP,Dartboard,6834375,2,3,0.0346
OpenMP,Dartboard,10251562,2,3,0.0465
