modo,algoritmo,tamaño,workers,iteracion,tiempo
OpenMP,Needles,400000,2,1,0.0048
OpenMP,Needles,600000,2,1,0.0065
OpenMP,Needles,900000,2,1,0.0125
OpenMP,Needles,1350000,2,1,0.0156
OpenMP,Needles,2025000,2,1,0.0213
OpenMP,Needles,3037500,2,1,0.0338
OpenMP,Needles,4556250,2,1,0.0406
OpenMP,Needles,6834375,2,1,0.0583
OpenMP,Needles,10251562,2,1,0.0823
OpenMP,Needles,15377343,2,1,0.1184
OpenMP,Needles,23066015,2,1,0.1764
OpenMP,Needles,34599022,2,1,0.2606
OpenMP,Needles,51898533,2,1,0.3826
OpenMP,Needles,77847800,2,1,0.5761
OpenMP,Needles,116771700,2,1,0.8483
OpenMP,Needles,175157550,2,1,1.2655
OpenMP,Needles,262736325,2,1,1.8779
OpenMP,Needles,394104487,2,1,2.7941
OpenMP,Needles,591156730,2,1,4.2324
OpenMP,Needles,886735095,2,1,6.3322
OpenMP,Needles,1330102642,2,1,9.3511
OpenMP,Needles,400000,2,2,0.0052
OpenMP,Needles,600000,2,2,0.0076
OpenMP,Needles,900000,2,2,0.0094
OpenMP,Needles,1350000,2,2,0.0165
OpenMP,Needles,2025000,2,2,0.0218
OpenMP,Needles,3037500,2,2,0.0276
OpenMP,Needles,4556250,2,2,0.0403
OpenMP,Needles,6834375,2,2,0.0551
OpenMP,Needles,10251562,2,2,0.0812
OpenMP,Needles,15377343,2,2,0.1166
OpenMP,Needles,23066015,2,2,0.1696
OpenMP,Needles,34599022,2,2,0.2510
OpenMP,Needles,51898533,2,2,0.3725
OpenMP,Needles,77847800,2,2,0.5550
OpenMP,Needles,116771700,2,2,0.8310
OpenMP,Needles,175157550,2,2,1.2468
OpenMP,Needles,262736325,2,2,1.8783
OpenMP,Needles,394104487,2,2,2.7891
OpenMP,Needles,591156730,2,2,4.1227
OpenMP,Needles,886735095,2,2,6.2097
OpenMP,Needles,1330102642,2,2,9.4195
OpenMP,Needles,400000,2,3,0.0049
OpenMP,Needles,600000,2,3,0.0077
OpenMP,Needles,900000,2,3,0.0083
OpenMP,Needles,1350000,2,3,0.0179
OpenMP,Needles,2025000,2,3,0.0262
OpenMP,Needles,3037500,2,3,0.0297
OpenMP,Needles,4556250,2,3,0.0384
OpenMP,Needles,6834375,2,3,0.0553
OpenMP,Needles,10251562,2,3,0.0812
OpenMP,Needles,15377343,2,3,0.1178
OpenMP,Needles,23066015,2,3,0.1709
OpenMP,Needles,34599022,2,3,0.2511
OpenMP,Needles,51898533,2,3,0.3760
OpenMP,Needles,77847800,2,3,0.5613
OpenMP,Needles,116771700,2,3,0.8319
OpenMP,Needles,175157550,2,3,1.2751
OpenMP,Needles,262736325,2,3,1.8857
OpenMP,Needles,394104487,2,3,2.7880
