N,pi_est,user_time
400000,3.139620000,0.000962000
600000,3.143253333,0.002229000
900000,3.142928889,0.002783000
1350000,3.142764444,0.004531000
2025000,3.142048395,0.006520000
3037500,3.141370206,0.011320000
4556250,3.141990014,0.017468000
6834375,3.141774925,0.027164000
10251562,3.141339047,0.040580000
15377343,3.141893109,0.059037000
23066015,3.141571355,0.082361000
34599022,3.141220813,0.125282000
51898533,3.141164703,0.195935000
77847800,3.141345394,0.284610000
116771700,3.141444100,0.411000000
400000,3.139970000,0.001583000
600000,3.140580000,0.001947000
900000,3.140231111,0.003086000
1350000,3.141004444,0.004864000
2025000,3.140596543,0.008720000
3037500,3.140867160,0.011075000
4556250,3.140983923,0.015934000
6834375,3.140918080,0.028641000
10251562,3.141365579,0.041136000
15377343,3.141274536,0.062776000
23066015,3.141158453,0.087369000
34599022,3.141099884,0.134065000
51898533,3.141292414,0.205046000
77847800,3.141280447,0.287956000
116771700,3.141581667,0.408077000
400000,3.140220000,0.001512000
600000,3.139680000,0.002069000
900000,3.141351111,0.002570000
1350000,3.141528889,0.005952000
2025000,3.141803457,0.007706000
3037500,3.141760000,0.011911000
4556250,3.141142826,0.018054000
6834375,3.140977778,0.027711000
10251562,3.141109618,0.041732000
15377343,3.141411881,0.059878000
23066015,3.141517596,0.092263000
34599022,3.141987655,0.127341000
51898533,3.141804721,0.194473000
77847800,3.141736157,0.276548000
116771700,3.141571288,0.410914000
400000,3.142410000,0.000972000
600000,3.143273333,0.001997000
900000,3.141768889,0.002993000
1350000,3.141244444,0.004922000
2025000,3.143085432,0.007581000
3037500,3.141994403,0.011309000
4556250,3.142032154,0.017515000
6834375,3.142584947,0.028226000
10251562,3.141973877,0.042791000
15377343,3.141960220,0.063819000
23066015,3.142065936,0.084829000
34599022,3.142232402,0.132560000
51898533,3.141920948,0.192380000
77847800,3.141724545,0.288939000
116771700,3.141784319,0.418936000
400000,3.139230000,0.001068000
600000,3.138760000,0.001759000
900000,3.138164444,0.003807000
1350000,3.139594074,0.004938000
2025000,3.140983704,0.007818000
3037500,3.141425514,0.012131000
4556250,3.141839012,0.018353000
6834375,3.142486621,0.027401000
10251562,3.142273929,0.042199000
15377343,3.142033055,0.062978000
23066015,3.142036628,0.093444000
34599022,3.141947076,0.139357000
51898533,3.141748458,0.193983000
77847800,3.141617618,0.295236000
116771700,3.141584956,0.439524000
400000,3.142670000,0.001052000
600000,3.142933333,0.002180000
900000,3.141582222,0.003515000
1350000,3.141887407,0.005458000
2025000,3.141082469,0.007809000
3037500,3.140972510,0.011091000
4556250,3.141534376,0.020405000
6834375,3.141212474,0.027646000
10251562,3.140949643,0.043020000
15377343,3.141275577,0.061373000
23066015,3.141446323,0.095633000
34599022,3.141787187,0.131445000
51898533,3.141813353,0.196720000
77847800,3.141747153,0.296456000
116771700,3.141695051,0.443592000
400000,3.140240000,0.001545000
600000,3.140846667,0.002239000
900000,3.141315556,0.003163000
1350000,3.141789630,0.004440000
2025000,3.141955556,0.007579000
3037500,3.142718683,0.012043000
4556250,3.142066392,0.018306000
6834375,3.141392739,0.029518000
10251562,3.141652755,0.042756000
15377343,3.142146468,0.062809000
23066015,3.141921307,0.089574000
34599022,3.141845917,0.136985000
51898533,3.141752388,0.197486000
77847800,3.141794168,0.289766000
116771700,3.141388504,0.433805000
400000,3.144940000,0.001046000
600000,3.141673333,0.002166000
900000,3.142675556,0.003875000
1350000,3.142269630,0.005564000
2025000,3.143176296,0.007403000
3037500,3.143147984,0.011580000
4556250,3.142632647,0.018658000
6834375,3.142284701,0.027555000
10251562,3.142295779,0.041189000
15377343,3.142345202,0.063542000
23066015,3.141934487,0.093011000
34599022,3.141703601,0.131741000
51898533,3.141365402,0.202340000
77847800,3.141496253,0.303431000
116771700,3.141427760,0.427688000
400000,3.142150000,0.001337000
600000,3.141313333,0.002000000
900000,3.140986667,0.002647000
1350000,3.140669630,0.004767000
2025000,3.139917037,0.006813000
3037500,3.139803128,0.010851000
4556250,3.141136680,0.019543000
6834375,3.141441317,0.028369000
10251562,3.140575846,0.043373000
15377343,3.140834928,0.062701000
23066015,3.141052150,0.090022000
34599022,3.141363822,0.127759000
51898533,3.141296190,0.193366000
77847800,3.141391433,0.275029000
116771700,3.141488323,0.410181000
400000,3.141620000,0.001327000
600000,3.144313333,0.001894000
900000,3.142697778,0.003075000
1350000,3.142770370,0.004726000
2025000,3.142560000,0.007350000
3037500,3.141386008,0.011073000
4556250,3.141354403,0.017849000
6834375,3.141317824,0.025830000
10251562,3.142096004,0.041723000
