N,trial,processes,mpi_time,user_cpu,sys_cpu,memory_kb,comm_time
20000,1,6,0.083559,0.041137,0.042421,15904,0.080772
40000,1,6,0.093918,0.041751,0.052073,15912,0.087348
80000,1,6,0.079759,0.040673,0.039074,15804,0.065526
100000,1,6,0.103497,0.054682,0.048744,15888,0.073976
120000,1,6,0.143814,0.078375,0.065355,15844,0.110118
140000,1,6,0.096275,0.058089,0.038207,15684,0.071876
20000,2,6,0.075225,0.035860,0.039340,15524,0.072315
40000,2,6,0.087188,0.040238,0.046894,15816,0.078632
80000,2,6,0.093324,0.049422,0.043942,15752,0.069802
100000,2,6,0.117862,0.064921,0.052828,15624,0.088253
120000,2,6,0.134342,0.075638,0.058717,15976,0.111245
140000,2,6,0.165509,0.088612,0.076899,15956,0.124869
20000,3,6,0.078547,0.025384,0.053092,15848,0.072744
40000,3,6,0.087506,0.041656,0.045628,15768,0.080909
80000,3,6,0.094103,0.053680,0.040329,15808,0.069690
100000,3,6,0.112362,0.059162,0.053055,15976,0.089017
120000,3,6,0.121571,0.066995,0.054272,16036,0.086802
140000,3,6,0.228071,0.125839,0.101699,16036,0.172927
20000,4,6,1.080215,0.423743,0.651811,15896,1.073676
40000,4,6,0.093056,0.032348,0.060659,15672,0.080883
80000,4,6,0.115392,0.068546,0.046803,15888,0.091124
100000,4,6,0.096872,0.059232,0.037647,15828,0.068001
120000,4,6,0.107045,0.042824,0.064137,15696,0.085553
140000,4,6,0.126858,0.069687,0.057119,15800,0.092372
20000,5,6,0.080951,0.037865,0.043128,15672,0.075089
40000,5,6,0.085974,0.028905,0.057021,15644,0.074206
80000,5,6,0.088798,0.044157,0.044600,15964,0.069197
100000,5,6,0.101575,0.058951,0.042567,16088,0.072031
120000,5,6,0.117756,0.063771,0.053941,15924,0.096341
140000,5,6,0.094154,0.047464,0.046505,15936,0.068487
20000,6,6,0.075275,0.030424,0.044819,15400,0.072454
40000,6,6,0.101191,0.043991,0.057185,15780,0.094607
80000,6,6,0.110138,0.059062,0.051014,15920,0.086893
100000,6,6,0.117776,0.073347,0.044444,16004,0.088804
120000,6,6,0.102100,0.059378,0.042784,15712,0.066824
140000,6,6,0.146063,0.086919,0.059168,15980,0.120062
20000,7,6,0.081653,0.038096,0.043532,15704,0.075951
40000,7,6,0.087454,0.031527,0.055927,15700,0.075505
80000,7,6,0.097541,0.044171,0.053343,15780,0.083486
100000,7,6,0.101049,0.058022,0.042933,15764,0.083529
120000,7,6,0.093682,0.055081,0.038567,15904,0.058953
140000,7,6,0.122289,0.076590,0.045715,15980,0.081098
20000,8,6,0.096146,0.048165,0.047897,15900,0.092694
40000,8,6,0.079687,0.035427,0.044219,15672,0.073201
80000,8,6,0.114379,0.051245,0.063069,15884,0.100280
100000,8,6,0.128580,0.057746,0.070701,15644,0.110591
120000,8,6,0.162137,0.081399,0.080600,15652,0.140171
140000,8,6,0.101169,0.060059,0.041025,15988,0.076121
20000,9,6,0.103609,0.040634,0.063024,15832,0.097716
40000,9,6,0.094378,0.038995,0.055317,15688,0.083096
80000,9,6,0.096194,0.055749,0.040332,15972,0.082022
100000,9,6,0.125260,0.065073,0.059945,15864,0.095475
120000,9,6,0.109229,0.065993,0.043125,15776,0.072705
140000,9,6,0.127976,0.068479,0.059289,15936,0.103116
20000,10,6,0.082210,0.031382,0.050765,15656,0.079324
40000,10,6,0.099903,0.044162,0.054106,15836,0.088172
80000,10,6,0.128469,0.065660,0.062751,15808,0.104287
100000,10,6,0.114822,0.069674,0.045080,15708,0.085358
120000,10,6,0.129530,0.076615,0.052941,15744,0.096904
140000,10,6,0.122573,0.074755,0.047730,15908,0.081774
